String Index	JPN	Name
CainAct5Gossip7	46 \nハロガスの長老会は壊滅したが、若い \n者の中にも優秀な人材はおる。たとえ \nばアーニャは、部族を率いるのに充分 \nな胆力と叡知を備えておるようだ。もっ \nともすべては、彼らがこの苦境を乗り \n切れればの話になるだろうがな。 \n	54\nThough the Elder Council of Harrogath \nis gone, there are many capable young \nleaders to take their place.\n \nAnya certainly has enough courage and \nintelligence to lead them all, if they can \nsurvive this catastrophe.\n
CainAct5Gossip8	50 \nアーニャはまったく、女ゆえの強さの \nよい見本と言うべきだろうな。あの娘 \nを見ておると、若い頃に知り合ったザ \nカラムの女司祭たちを思い出すよ。し \nかも彼女らには、純潔の誓いを立てる \n習慣はなかったしな。 \n	53\nAh, Anya. Such a fine example of \nfeminine strength...\n \nShe reminds me of the Zakarum \npriestesses I knew in my youth. They \ndon't take vows of chastity, you know.\n
CainAct5Gossip9	53 \nこの街に、ラーザックほどの鍛治屋が \nいたのは幸いだった。彼の腕前は、君 \nにとっても大きな助けになるだろう。 \n彼ならば、最盛期のホラドリムにでも \n大歓迎されただろうね。 \n	65\nIt is fortunate that this town has such a \ntalented smith.\n \nThe quality of Larzuk's work surely \ncomplements your skills. In fact, he \nwould have been quite welcome \namongst the Horadrim.\n
CainAct5Gossip10	52 \nこの戦いの元になったのはソウルストー \nンだろうと、私はにらんでおる。もし、 \nマリウスとかいう愚か者が魔神に惑わ \nされなければ、バールは今でもタル・ \nラシャの体に封印されておったはずな \nのだ。 \n	54\nIt is my belief that the Soulstones are at \nthe center of this conflict. If only that \nfool Marius had not intervened, Baal \nwould still be imprisoned within Tal \nRasha.\n
AnyaAct5IntroGossip1	53 \nどうやらあなたは、勇者と呼ばれるに \nふさわしい力を持っているようね。 \n \n見ての通り、今は苦難の時よ。あなた \nの力を借りて、バールを打ち倒せるこ \nとを祈っているわ。 \n \nハロガスの長老会は壊滅したわ。私の \n父オーストも、その一員だった。皆が \n絶望に沈まないでいられるのは、バー \nルへの復讐を誓っているおかげよ。 \n	54\nYou have proven yourself a true hero to \nme and my people.\n \nThese are dark times, warrior. I hope \nyou can bring an end to Baal's reign of \ndestruction. \n \nOur Council of Elders is gone -- my \nfather, Aust, among them. The one \nthing that keeps us from total despair \nis the promise of vengeance against \nBaal.\n
AnyaGossip1	50 \n長老たちはみんな死んでしまった。彼 \nらの叡知なくして、本当にこの暗黒の \n時代を乗り切れるのか、正直言ってわ \nからないわ。父の後を継ぐのは私だけ \nど、私一人で部族全体の運命を担うな \nんて、重すぎる。 \n \nでも、私たちは強い民よ。ただ全力を \n尽くして、あとは運命に任せるだけだ \nわ。 \n	45\nNow that the Elders are all dead, I don't \nknow who will guide our people through \nthis dark time. I was to be next in line \nafter my father, but this burden is too \ngreat for me to shoulder alone. \n \nWe are a people of strong blood. I shall \ndo what I can and let fate do the rest.\n
AnyaGossip2	76 \nバールの軍団を甘く見ないことね。連 \n中は、敵を倒すためなら喜んで自分の \n命を捨てるんだから。 \n	82\nBaal's minions are not to be trifled with. \nIn their bloodlust they will sacrifice \nthemselves to destroy you.\n
AnyaGossip3	55 \nよそ者たちは、私たちの祖先「古き民」 \nにまつわる伝説を、ただの作り話と思っ \nているようね。でも私は、古き民は人 \n間以上の存在だと信じているわ。人類 \nは本来彼らのようだったのに、衰えて \n今のようになったんじゃないかしら。 \n	60\nMany outsiders believe that the \nfantastic stories about our ancestors, \nthe Ancients, are but fables. However, I \nbelieve that the Ancients were more \nthan human -- that mankind has fallen \nfrom what it once was.\n
AnyaGossip4	60 \n子供の頃から、よく長老たちに聞かさ \nれたわ。あの山に秘められた力の話を。 \nそれから、私たちバーバリアンが山の \n守護者として、いかに重要な役目を負っ \nているかを。 \n \nバールは単に、私たちの領土を奪って \nいるだけじゃない。魔獣の軍が山に近 \nづくごとに、私たちの誇りも、存在意 \n義も奪われていくのよ。 \n	58\nWhen I was a child, the Elders told us \nstories about the mountain and its \npower...and how the Barbarian people \nare bound to it as protectors.\n \nBaal is not just taking our land -- with \nevery step he takes up the mountain, \nhe takes a part of who we are as a \npeople.\n
AnyaGossip5	65 \nあなたが助けに駆けつけてくれたこと \nには、本当に感謝しているわ。でも、 \n早いうちに近隣諸国に援軍を求めてい \nれば、戦況はもっと明るかったでしょ \nうね。伝説の守護者としての愚かな誇 \nりが、判断を誤らせたのよ...。 \n	72\nI am truly glad you are here, warrior. \nPerhaps things would be different now \nif we had asked for assistance from \nthe neighboring kingdoms.\n \nOur foolish, foolish pride...\n
AnyaGossip6	45 \n私の父のオーストは、バールの軍に立 \nち向かうなら外部に援軍を求めるべき \nだと、最初から主張していたわ。この \n戦いが単なる部族の問題ではなく、世 \n界全体の運命にかかわるものだと知っ \nていたのね。人が生きるには水や食べ \n物が必要なように、世界が生きるには \nアリート山の力が必要なんだと、父は \n言っていたわ。私もその通りだと思う。 \n	54\nMy father, Aust, was among those \nElders wise enough to see that we \nwould need outside help to deal with \nBaal's legions. He believed that this \nconflict would affect the entire world, \nnot just our homeland. He said that \nMount Arreat is as necessary to the \nworld's survival as food and water is to \nour own.\n \nI believe this to be true.\n
AnyaGossip7	50 \n以前のクォル＝ケックは傲慢なほどの \n自信家だったけど、バールと戦って誇 \nりを傷つけられたようね。最初の防戦 \nで、部下の三分の一を失ってしまった \nから。 \n \n兵たちの死に、彼ほど心を痛めている \n人はいないでしょう。本人は認めたが \nらないだろうけど、あなたの存在は彼 \nにとっても希望の象徴になっているは \nずよ。 \n	50\nQual-Kehk's confidence in his abilities \nonce bordered on arrogance, but in the \nearly days of the siege, he was \nhumbled by Baal. While he saved us \nfrom immediate destruction, a third of \nour warriors were lost.\n \nNone felt those losses more than he. \nThough he may not admit it, your \npresence gives him hope, warrior.\n
AnyaGossip8	67 \nラーザックに、鍛冶の腕の半分でも歌 \nや踊りの才能があれば、とっくに結婚 \nできていたでしょうね。あの盛り上がっ \nた肩を見ればわかるでしょ。 \n	78\nIf Larzuk could sing or dance half as \nwell as he smiths, he'd be married by \nnow.\n \n...Just look at those shoulders.\n
AnyaGossip9	53 \nニーラサックは長老会の最後の生き残 \nりだったわ。彼は彼なりに力を尽くし \nて部族を導き、山を守ろうとしたよう \nだけど、他の皆にも増して状況が見え \nなくなっていたのね。 \n \n裏切りは許せないけど、彼の失敗から \n学ぶことはできそうだわ。 \n	57\nNihlathak was the last of our Elders, \nwhose charge it was to safeguard the \nmountain. He alone tried to guide us \nthrough the most desperate time in our \nhistory -- but he was just as helpless as \nthe rest of us.\n \nI cannot forgive his betrayal, but I can \nlearn from it.\n
AnyaGossip10	55 \n部族の者は、アリート山を守っている \n「古き民」には、バールを止める力が \nあると信じていたわ。でも、実際に破 \n壊の王の猛威を見ていると、なにも信 \nじられなくなってしまったけどね。 \n	60\nOur people believe that the Ancients \nprotecting Mount Arreat have the \npower to stop Baal. Unfortunately, the \nLord of Destruction has shown great \npower to undermine our faith.\n
LarzukAct5IntroGossip1	55 \n俺はラーザック、鍛治屋をやってる。 \n先祖代々、このハロガスじゃ最高の職 \n人なんだぜ。 \n \nでも最近じゃ材料がどんどん乏しくなっ \nてきてるし、城壁の向こうの魔物ども \nはいっこうに弱る気配がないから、い \nくら頑張っても追っつきゃしねえがな。 \n \nそのうち俺も、鍛冶のハンマーを置い \nて剣を持つ日が来るのかもしれねえな。 \n	55\nI am Larzuk, the armorer. My ancestors \nwere some of the finest craftsmen in \nHarrogath. \n \nRegretfully, my supplies run lower with \nevery passing day, yet the demons \nbeyond the walls have not weakened. \n \nI fear the time is near when I must put \ndown my hammer and take up a sword, \ninstead.\n
LarzukAct5IntroAmaGossip1	46 \nへえ、あんたアマゾンかい。あんたら \nの噂は聞いてるぜ。すごい武器を使う \nそうじゃねえか。俺の作ったのと比べ \nてみるかい？ \n \n俺はラーザック、鍛治屋をやってるん \nだ。先祖代々、このハロガスじゃ最高 \nの職人なんだぜ。 \n \nでも最近じゃ材料がどんどん乏しくなっ \nてきてるし、城壁の向こうの魔物ども \nはいっこうに弱る気配がないから、い \nくら頑張っても追っつきゃしねえがな。 \n \nそのうち俺も、鍛冶のハンマーを置い \nて剣を持つ日が来るのかもしれねえな。 \n	42\nSo, you're an Amazon. I have heard \nrumors about your kind. Your unusual \nweapons could prove a challenge to my \nskills, but I'm prepared to meet it.\n \nI am Larzuk, the armorer. My ancestors \nwere some of the finest craftsmen in \nHarrogath. Regretfully, my supplies run \nlower with every passing day, yet the \ndemons beyond the walls have not \nweakened. I fear the time is near when \nI must put down my hammer and take \nup a sword, instead.\n
LarzukGossip1	66 \nあんたらアマゾンは、飛び道具の扱い \nがうまいらしいな。たしかに見た限り \nじゃ、地獄のケダモノどもを狩るにゃ、 \nそいつが一番良さそうだ。 \n \nところであんたらの部族は、みんなそ \nんなに... デカいのかい？ \n	65\nI've heard that you Amazons excel at \nkilling from a distance. From what I've \nseen, that's the best way to deal with \nHell's minions. \n \nAre all of your kind so...big?\n
LarzukGossip2	63 \nいったいぜんたい、どうして住みやす \nい南の島を離れて、こんな寒い戦場に \n来たんだ？　もしこの戦いに生き残れ \nたら、あんたの故郷を案内してくれね \nえか？ \n	65\nWhy did you ever leave your beautiful \nislands to come to this frozen \nbattleground? Perhaps if we both \nsurvive this, we'll travel back there \ntogether.\n
LarzukGossip3	65 \nゆうべは、あの気色悪い遠吠えのせい \nでよく眠れなかったんじゃないのかい？ \n何かの獣だって言う奴もいるけどよ、 \nあんな声の動物なんて見たことも聞い \nたこともねえぜ。 \n	75\nHas that infernal howling been keeping \nyou awake at night, too? Some think \nit's the howling of animals, but those \nsounds don't come from any beast I've \never known.\n
LarzukGossip4	63 \n魔物どもの軍団は、俺たちの造った塔 \nやバリケードをぶんどって、包囲戦に \n利用してやがる。できれば、奴らが装 \n備をととのえる前に包囲網を破ったほ \nうが、賢明ってもんなんだろうがね。 \n	69\nDemonic forces have been using our \nown towers and barricades against us. \nYou know, it would be wise to cut the \ndemons down in the open before they \ncan mount those fortifications.\n
LarzukGossip5	65 \nニーラサックのヤケクソなホラは、聞 \nいてるだけで参っちまうぜ。やせても \n枯れても長老だろうによ。いっそ消え \nてくれた方がせいせいするぐらいだ。 \n	70\nNihlathak's despair is infectious -- and \nhis behavior does not befit an Elder of \nhis stature. I think we'd be better off \nwithout him.\n
LarzukGossip6	63 \nこないだ、クォル＝ケックに包囲網を \n破る作戦の案を話したんだが、マトモ \nに聞こうともしやがらねえ。俺が戦士 \nじゃないからナメてるのか、それとも \nハナっから俺をバカだと思ってるのか。 \nどっちにしてもいけすかねえぜ。 \n	63\nI've offered Qual-Kehk my ideas on how \nto break the siege, but he dismisses \nthem. Is it because I lack scars of \nbattle, or does he think I'm a couple \narrows short of a quiver?\n
LarzukGossip7	53 \n言い伝えじゃ、アリート山のてっぺん \nには俺たちの先祖の霊がいて、山を守っ \nてるそうだぜ。俺たちは頂上には登れ \nない掟なんだが、よそ者は何度か登っ \nていったな。ただし、帰ってきた奴は \nいねえけどな。 \n	64\nLegend has it that the top of Mount \nArreat is guarded by the spirits of our \nancestors. Though our people are \nforbidden to climb to the mountain's \nsummit, some foreign travelers have \nmade the attempt.\n \nNone have ever returned.\n
LarzukGossip8	63 \nこの街も、戦勝会ともなればにぎやか \nなもんだ。俺たちバーバリアンは子供 \nの頃から戦士の修行をするんだが、同 \nじぐらい熱心に祭りの稽古もやってる \nからな。 \n \nあんた、余分な酒を持ってるなら高く \n買うぜ。 \n	66\nThis is a lively town during our victory \ncelebrations. We Barbarians train long \nand hard from childhood to become \nwarriors, and we celebrate with equal \nfervor.\n \nYou didn't happen to bring along any \nale to trade?\n
LarzukGossip9	52 \n俺がこうやって安全な鍛冶場で働いて \nる間にも、城壁の外じゃ毎日友達が死 \nんでってるんだ。ここまで武器が不足 \nしてるんでなけりゃ、俺だって剣を取っ \nて戦場に出てやりたいんだがな。 \n \n俺の分まで、頑張ってくれよ。 \n	54\nEvery day, one of my friends dies \nfighting outside the town walls, while I \ntend my anvil here unscathed. If only \nwe didn't need weapons so badly, I \ncould be out doing my share of the \nfighting. \n \nGood luck to you, warrior.\n
LarzukGossip10	55 \n一応言っとくけど、あんたから取る金 \nは一文も稼ぎにゃなってねえんだぜ。 \nだいたいは、武器や防具の材料を仕入 \nれるので消えちまう。残りは全部、マ \nラーとクォル＝ケックに渡してるんだ。 \n必要な物をそろえてもらうためによ。 \n	56\nJust so you know...The gold you pay me \ndoesn't line my pockets. Much of it \ngoes to buy the raw metal I need to \nmelt down for weapons and armor. The \nrest -- well, all I can spare -- goes to \nMalah and Qual-Kehk for other \nsupplies.\n
MalahAct5IntroGossip1	39 \nわたくしはマラー。アリート山に建つ \n秩序の最後の砦、ハロガスへようこそ。 \n破壊の王バールと戦うおつもりでした \nら、ちょうどいいところに来てくださ \nいましたね。 \n \n見ての通り、バールはわたくしたちの \n聖なる山を汚し、人々の命を奪いまし \nた。攻撃は今も続いており、クォル＝ \nケックの率いる部隊では歯が立ちませ \nん。バールは山で何かを探しているよ \nうなのですけれど、それが何なのかは、 \nわたくしにはわかりません。 \n \nニーラサックを除く長老会の面々は、 \nハロガスを守る結界を張るために、残 \nらず命を落としました。 \n \nニーラサックをはじめ、あなたの存在 \nを快く思わない者もいるようです。我 \nらは伝説の戦士であることに誇りを持っ \nておりますから、助けの手を差しのべ \nられることに抵抗があるのですね。し \nかしわたくし個人は、心から感謝して \nいますよ。 \n \nヒーリングやポーションが必要なとき \nには、わたくしのところにおいでなさ \nい。武器や防具のことなら、ラーザッ \nクに頼めば大丈夫です。他に足りない \n物があれば、一応はニーラサックにも \n相談した方がいいでしょう。それから \nクォル＝ケックは、ハロガスの軍令長 \nとしてバールと戦っている人ですから、 \nあなたの力になってくれるかもしれま \nせん。 \n	35\nI, Malah, welcome you to Harrogath, \nthe last stronghold of Order on Mount \nArreat. You have come to the right \nplace if you intend to defeat Baal the \nLord of Destruction.\n \nBaal has laid waste to our mountain \nand its denizens. His minions continue \nto attack our town, while Qual-Kehk \nand his men have proven helpless to \nstop them. Baal is still out on the \nmountain looking for something -- but I \nknow not what. \n \nAll of the Elders, save Nihlathak, \nsacrificed themselves to place a \nprotective ward around Harrogath.\n \nSome of us here, certainly Nihlathak, do \nnot appreciate your presence. We are a \nproud people, and it is not easy for us \nto accept aid. I, however, am glad you \nare here.\n \nIf you need healing or a potion, please \ncome to me. See Larzuk for weapons, \narmor, and repairs. Nihlathak, despite \nhis disposition, may be of some \nassistance with other wares. Finally, \nQual-Kehk, our Man-At-Arms, leads \nHarrogath's remaining forces against \nBaal.\n
MalahAct5IntroSorGossip1	38 \nソーサレスが... このハロガスに？ \n \n実はわたくしも昔は、ソーサレスにな \nろうと思ったことがあるのですよ。素 \n質がなくて、ものになりませんでした \nけどね。ヒーリングの技だけは磨いて、 \nほとんどどんな傷も治せるようになり \nましたけど、バールと戦うにはあまり \nに無力な自分が歯がゆくて... 。 \n \nあらイヤだわ、勝手に自分の話ばかり \nして。ご挨拶もまだでしたわね。 \n \nわたくしはマラー。アリート山に建つ \n秩序の最後の砦、ハロガスへようこそ。 \n破壊の王バールと戦うおつもりでした \nら、ちょうどいいところに来てくださ \nいました。 \n \n見ての通り、バールはわたくしたちの \n聖なる山を汚し、人々の命を奪いまし \nた。攻撃は今も続いており、クォル＝ \nケックの率いる部隊では歯が立ちませ \nん。バールは山で何かを探しているよ \nうなのですけれど、それが何なのかは、 \nわたくしにはわかりません。 \n \nニーラサックを除く長老会の面々は、 \nハロガスを守る結界を張るために残ら \nず命を落としました。 \n \nニーラサックをはじめ、あなたの存在 \nを快く思わない者もいるようです。我 \nらは伝説の戦士であることに誇りを持っ \nておりますから、助けの手を差しのべ \nられることに抵抗があるのですね。し \nかしわたくし個人は、心から感謝して \nいますよ。 \n \nヒーリングやポーションが必要なとき \nには、わたくしのところにおいでなさ \nい。武器や防具のことなら、ラーザッ \nクに頼めば大丈夫です。他に足りない \n物があれば、一応はニーラサックにも \n相談した方がいいでしょう。それから \nクォル＝ケックは、ハロガスの軍令長 \nとしてバールと戦っている人ですから、 \nあなたの力になってくれるかもしれま \nせん。 \n	36\nA Sorceress...Here in Harrogath?\n \nThere was a time, child, when I thought \nI was destined to follow your kind's \npath. However, my powers never \ndeveloped beyond the simplest of \nspells. Although I can heal almost any \nwound with time and energy, there is \nlittle I can do to help against Baal.\n \nBut enough of that...I spend too much \ntime in reflection and have forgotten \nmy manners.\n \nI, Malah, welcome you to Harrogath, \nthe last stronghold of Order on Mount \nArreat. You have come to the right \nplace, if you intend to defeat Baal the \nLord of Destruction.\n \nBaal has laid waste to our mountain \nand its denizens. His minions continue \nto attack our town, while Qual-Kehk \nand his men have proven helpless to \nstop them. Baal is still out on the \nmountain looking for something -- but I \nknow not what. \n \nAll of the Elders, save Nihlathak, \nsacrificed themselves to place a \nprotective ward around Harrogath.\n \nSome of us here, certainly Nihlathak, do \nnot appreciate your presence. We are a \nproud people, and it is not easy for us \nto accept aid. I, however, am glad you \nare here.\n \nIf you need healing or a potion, please \ncome to me. See Larzuk for weapons, \narmor, and repairs. Nihlathak, despite \nhis disposition, may be of some \nassistance with other wares. Finally, \nQual-Kehk, our Man-At-Arms, leads \nHarrogath's remaining forces against \nBaal.\n
MalahAct5IntroBarGossip1	39 \nあなたも、結局はこのバーバリアンの \n故郷へ帰ってきたのですね。あなたが \n冒険の旅をしている間に、ハロガスは \nすっかり変わってしまったでしょう。 \n魔獣に埋め尽くされて、それこそ同じ \n土地とは思えないぐらい。 \n \nそれでも、わたくしは何とか生きてい \nますわ。あなたもきっと辛いでしょう \nけれど、そうやって生きて帰ってくれ \nただけで、わたくしは大いに元気づけ \nられました。あなたの力を借りて、わ \nたくしたちがこの地獄から抜け出せる \nことを祈っております。 \n \n見ての通り、バールはわたくしたちの \n聖なる山を汚し、人々の命を奪いまし \nた。攻撃は今も続いており、クォル＝ \nケックの率いる部隊では歯が立ちませ \nん。バールは山で何かを探しているよ \nうなのですけれど、それが何なのかは、 \nわたくしにはわかりません。 \n \nニーラサックは長老会の唯一の生き残 \nりですけれど、最近は様子がおかしい \nようです。他の長老たちが、ハロガス \nの街を守る結界を張るために命を落と \nしたのに、自分だけ生き延びたことに \n罪悪感を感じているようですね。もし \nニーラサックがあなたに辛く当たるよ \nうでも、それは若い人をこれ以上死な \nせたくないからだと思ってあげてくだ \nさいね。 \n \nとにかく、この地はすっかり変わって \nしまいました。もう希望も持てないか \nと思うぐらいに。 \n \nヒーリングやポーションが必要なとき \nには、わたくしのところにおいでなさ \nい。武器や防具のことなら、ラーザッ \nクに頼めば大丈夫です。他に足りない \n物があれば、一応はニーラサックにも \n相談した方がいいでしょう。それから \nクォル＝ケックは、ハロガスの軍令長 \nとしてバールと戦っている人ですから、 \nあなたの力になってくれるかもしれま \nせん。 \n	34\nYou have traveled far only to return \nhome to us, Barbarian. Ohh...Much has \nhappened in Harrogath since you left. \nOur homeland is hardly recognizable \nwith so much evil about.\n \nYet, I've managed to survive so far. \nYou've seen your share of suffering as \nwell, I'm sure. Seeing you again -- alive \n-- does my heart good. I shall pray that \nyou can help us out of this hell.\n \nBaal has laid waste to our mountain \nand its denizens. His minions continue \nto attack our town, while Qual-Kehk \nand his men have proven helpless to \nstop them. Baal is still out on the \nmountain looking for something -- but I \nknow not what.\n \nNihlathak is the last survivor of the \nCouncil of Elders, but I'm afraid he has \nnot been himself lately. The other \nElders sacrificed themselves to place a \nprotective ward around Harrogath. If \nNihlathak is curt with you, it is because \nhe feels responsible for our situation. \nHe does not relish sending more of our \npeople out to die.\n \nSo much has changed since you left \nthat I see little hope for us in this life.\n \nIf you need healing or a potion, please \ncome to me. See Larzuk for weapons, \narmor, and repairs. Nihlathak, despite \nhis disposition, may be of some \nassistance with other wares. Finally, \nQual-Kehk, our Man-At-Arms, leads \nHarrogath's remaining forces against \nBaal.\n
MalahGossip1	50 \nソーサレスの皆さんの素晴らしい魔力 \nのことは、わたくしも知っているつも \nりですわよ。もしこの戦いに生き残る \nことができたら、実際の術を見せてく \nださらない？　よろしければ、いくつ \nか教わりたいわ。 \n \n歳は取っていても、まだ死んだわけで \nはないんですからね。 \n	53\nI'm aware of the amazing magical \npowers a Sorceress can channel. If we \nsurvive Baal's wrath, I would be most \nhonored if you could demonstrate and \nperhaps teach me something of what \nyou know. \n \nI may be old, but I'm not dead.\n
