Index	JPN	ENG
StrSklTabItem11	戦闘のスキル +%d	+%d to Combat Skills
StrSklTabItem12	戦闘の極意 +%d	+%d to Masteries
StrSklTabItem13	冷気呪文 +%d	+%d to Cold Skills
StrSklTabItem14	稲妻呪文 +%d	+%d to Lightning Skills
StrSklTabItem15	火炎呪文 +%d	+%d to Fire Skills
StrSklTabItem16	召喚呪文 +%d	+%d to Summoning Skills
StrSklTabItem17	変身能力 +%d	+%d to Shape Shifting Skills
StrSklTabItem18	エレメンタル +%d	+%d to Elemental Skills
StrSklTabItem19	トラップ +%d	+%d to Traps
StrSklTabItem20	シャドウ・ディシプリン +%d	+%d to Shadow Disciplines
StrSklTabItem21	マーシャル・アーツ +%d	+%d to Martial Arts
x	キャラクター'%s'は３か月以上使用されなかったので、削除されました	The character '%s' has not been used for over 3 months and has expired.
upgraderestrictEx	マジック、ソケット、レア、ユニーク、セットなどのアイテムは不可。宝石やジュエルも不可。	No Magic, Socketed, Rare, Unique, or Set Items. No Jewelry.
x	アンデッド	Undead
x	デーモン	Demon
strScaryMonDescA		
strScaryMonDescB		
strScaryMonDesc1	火炎無効	Immune to Fire
strScaryMonDesc2	冷気無効	Immune to Cold
strScaryMonDesc3	稲妻無効	Immune to Lightning
strScaryMonDesc4	毒物無効	Immune to Poison
strScaryMonDesc5	物理攻撃無効	Immune to Physical
strScaryMonDesc6	魔法無効	Immune to Magic
PlayerNameOnItemstring	%sの	%s's
PlayerNameOnItemstringX	%の	%s'
SetItemFormatX	%0	%0
x	拡張版ランキング	EXPANSION LADDER
x	拡張版ハードコア・ランキング	EXPANSION HARDCORE LADDER
D2bnetHelp47a	「拡張版ランキング」とは、獲得経験値の順にキャラクターを表示するリスト、別名「ラダー」です。デフォルト設定ではクラスに関係なく表示されますが、クラス別表示を見るオプションもあります。	The EXPANSION LADDER displays the top characters, ranked by experience. The default setting displays overall rankings, but you can view sorted lists after selecting the By Class option.
D2bnetHelp48a	「拡張版ハードコア・ランキング」とは、獲得経験値の順にハードコア・キャラクターを表示するリスト、別名「ラダー」です。デフォルト設定ではクラスに関係なく表示されますが、クラス別表示を見るオプションもあります。	The EXPANSION HARDCORE LADDER displays the top Hardcore characters, ranked by experience. The default setting displays overall rankings, but you can view sorted lists after selecting By Class option.
x	すべて修理	Repair All
x	全装備を修理: %d	Repair all equipment: %d
x	装備中のアイテムに修理は不要	No equipped items need repairing
Druid	ドルイド	Druid
Assassin	アサシン	Assassin
partychardru	ドルイド	Druid
partycharass	アサシン	Assassin
x	ゲームに参加できません。Diablo IIキャラクターは、Diablo II拡張版キャラクターの作成したゲームには入れません。	Unable to enter game. A Diablo II character cannot join a game created by a Diablo II Expansion character.
x	ゲームに入れません。拡張版キャラクターは、Diablo IIキャラクターの作成したゲームには参加できません。	Unable to enter game. A Diablo II Expansion character cannot join a game created by a Diablo II character.
charmonsterX	%s： %d%%	%s: %d%%
charmontohit1X	%sの攻撃が自分に命中する確率：%d%%	Average chance %s will hit you: %d%%
charmontohit2X	ブロック成功確率：%d%%\n%sの攻撃が自分に命中する確率：%d%%	Chance to Block: %d%%\nAverage chance %s will hit you: %d%%
Party1X	%sは、汝に屍から物を取る許可を与えた。	%s permits you to loot his corpse.
Party2X	%sは、汝に屍から物を取る許可を与えた。	%s permits you to loot her corpse.
Party10	%sは、自分の屍から物を取る許可を取り消した。	%s no longer allows you to access his corpse.
Party11	%sは、自分の屍から物を取る許可を取り消した。	%s no longer allows you to access her corpse.
Party12	汝らは互いに敵対している。	You are hostile towards each other.
Party13	%sは汝に敵対しているが、汝は彼に友好的だ。	%s is hostile to you, but you are friendly to him.
Party14	%sは汝に敵対しているが、汝は彼女に友好的だ。	%s is hostile to you, but you are friendly to her.
Party 15	%sは汝に友好的だが、汝は彼と敵対している。	%s is friendly to you, but you are hostile to him.
Party16	%sは汝に友好的だが、汝は彼女と敵対している。	%s is friendly to you, but you are hostile to her.
Party17	汝らは互いに友好的だ。	You are friendly to each other.
Party18	汝らは互いの屍から物を取ることができる。	You may loot each other's corpse.
Party19	%sは汝の屍から物を取れるが、汝は彼の屍から取れない。	%s may loot your corpse, but you may not loot his.
Party20	%sは汝の屍から物を取れるが、汝は彼女の屍から取れない。	%s may loot your corpse, but you may not loot hers.
Party21	%sは汝の屍から物を取れないが、汝は彼の屍から取れる。	%s may not loot your corpse, but you may loot his.
Party22	%sは汝の屍から物を取れないが、汝は彼女の屍から取れる。	%s may not loot your corpse, but you may loot hers.
Party23	汝らは互いに、屍から物を取る許可を与えていない。	Neither of you may loot the other's corpse.
Civerb's Ward	シバーブの防護	Civerb's Ward
Civerb's Icon	シバーブの聖像	Civerb's Icon
Civerb's Cudgel	シバーブのカジェル	Civerb's Cudgel
Hsarus' Iron Heel	フサルの鉄のかかと	Hsarus' Iron Heel
Hsarus' Iron Fist	フサルの鉄拳	Hsarus' Iron Fist
Hsarus' Iron Stay	フサルの鉄帯	Hsarus' Iron Stay
Cleglaw's Tooth	クレグローの歯	Cleglaw's Tooth
Cleglaw's Claw	クレグローの鉤爪	Cleglaw's Claw
Cleglaw's Pincers	クレグローの鉄手袋	Cleglaw's Pincers
Iratha's Cord	イラーサの紐	Iratha's Cord
Iratha's Coil	イラーサのコイル	Iratha's Coil
Iratha's Cuff	イラーサの袖小手	Iratha's Cuff
Iratha's Collar	イラーサの襟	Iratha's Collar
Isenhart's Horns	アイゼンハートの角	Isenhart's Horns
Isenhart's Case	アイゼンハートの胴丸	Isenhart's Case
Isenhart's Parry	アイゼンハートの防御	Isenhart's Parry
Isenhart's Lightbrand	アイゼンハートのライトブランド	Isenhart's Lightbrand
Vidala's Snare	ビダラの誘惑	Vidala's Snare
Vidala's Ambush	ビダラの伏兵	Vidala's Ambush
Vidala's Fetlock	ビダラの足枷	Vidala's Fetlock
Vidala's Barb	ビダラの鉤	Vidala's Barb
Milabrega's Robe	ミラブレガのローブ	Milabrega's Robe
Milabrega's Diadem	ミラブレガの冠輪	Milabrega's Diadem
Milabrega's Rod	ミラブレガのロッド	Milabrega's Rod
Milabrega's Orb	ミラブレガの宝玉	Milabrega's Orb
Cathan's Seal	カサンの封印	Cathan's Seal
Cathan's Sigil	カサンの印璽	Cathan's Sigil
Cathan's Visage	カサンの覆面	Cathan's Visage
Cathan's Mesh	カサンのメッシュ	Cathan's Mesh
Cathan's Rule	カサンのルール	Cathan's Rule
Tancred's Crowbill	タンクレッドのクロウビル	Tancred's Crowbill
Tancred's Spine	タンクレッドの棘	Tancred's Spine
Tancred's Hobnails	タンクレッドのホブネイル	Tancred's Hobnails
Tancred's Weird	タンクレッドの宿命	Tancred's Weird
Tancred's Skull	タンクレッドの頭蓋骨	Tancred's Skull
Sigon's Visor	サイゴンのバイザー	Sigon's Visor
Sigon's Shelter	サイゴンのシェルター	Sigon's Shelter
Sigon's Gage	サイゴンの籠手	Sigon's Gage
Sigon's Sabot	サイゴンの木靴	Sigon's Sabot
Sigon's Wrap	サイゴンの巻き布	Sigon's Wrap
Sigon's Guard	サイゴンのガード	Sigon's Guard
Infernal Cranium	冥界の頭骨	Infernal Cranium
Infernal Torch	冥界のたいまつ	Infernal Torch
Infernal Sign	冥界の紋章	Infernal Sign
Berserker's Headgear	狂戦士のヘッドギア	Berserker's Headgear
Berserker's Hauberk	狂戦士のホーバーク	Berserker's Hauberk
Berserker's Hatchet	狂戦士のハチェット	Berserker's Hatchet
Death's Hand	死神の手	Death's Hand
Death's Guard	死神のガード	Death's Guard
Death's Touch	死神の接触	Death's Touch
Angelic Sickle	天使の手鎌	Angelic Sickle
Angelic Mantle	天使のマント	Angelic Mantle
Angelic Halo	天使の光輪	Angelic Halo
Angelic Wings	天使の翼	Angelic Wings
Arctic Horn	極地の角	Arctic Horn
Arctic Furs	極地の毛皮	Arctic Furs
Arctic Binding	極地の帯	Arctic Binding
Arctic Mitts	極地の手袋	Arctic Mitts
Arcanna's Sign	アルカナのサイン	Arcanna's Sign
Arcanna's Deathwand	アルカナの死のワンド	Arcanna's Deathwand
Arcanna's Head	アルカナの頭	Arcanna's Head
Arcanna's Flesh	アルカナの肉	Arcanna's Flesh
skillxname0	 	
skillxsd0	 	
skillxld0	 	
skillxan0	 	
skillxname1	 	
skillxsd1	 	
skillxld1	 	
skillxan1	 	
skillxname2	 	
skillxsd2	 	
skillxld2	 	
skillxan2	 	
skillxname3	 	
skillxsd3	 	
skillxld3	 	
skillxan3	 	
skillxname4	 	
skillxsd4	 	
skillxld4	 	
skillxan4	 	
skillxname5	 	
skillxsd5	 	
skillxld5	 	
skillxan5	 	
skillxname6	 	
skillxsd6	 	
skillxld6	 	
skillxan6	 	
skillxname7	 	
skillxsd7	 	
skillxld7	 	or bolts with fire\nmagically enhances your arrows
skillxan7	 	
skillxname8	 	
skillxsd8	 	
skillxld8	 	cold arrows only do half of their regular damage\nby adding cold damage and a slowing effect\nmagically enhances your arrows or bolts
skillxan8	 	
skillxname9	 	
skillxsd9	 	
skillxld9	 	
skillxan9	 	
skillxname10	 	
skillxsd10	 	
skillxld10	 	
skillxan10	 	
skillxname11	 	
skillxsd11	 	
skillxld11	 	cold arrows only do half of their regular damage\nby adding cold damage and a slowing effect\nmagically enhances your arrows or bolts
skillxan11	 	
skillxname12	 	
skillxsd12	 	
skillxld12	 	
skillxan12	 	
skillxname13	 	
skillxsd13	 	
skillxld13	 	
skillxan13	 	
skillxname14	 	
skillxsd14	 	
skillxld14	 	
skillxan14	 	
skillxname15	 	
skillxsd15	 	
skillxld15	 	
skillxan15	 	
skillxname16	 	
skillxsd16	 	
skillxld16	 	contact, damaging all nearby enemies\nenchants an arrow or bolt that explodes on
skillxan16	 	
skillxname17	 	
skillxsd17	 	
skillxld17	 	
skillxan17	 	
skillxname18	 	
skillxsd18	 	
skillxld18	 	
skillxan18	 	
skillxname19	 	
skillxsd19	 	
skillxld19	 	
skillxan19	 	
skillxname20	 	
skillxsd20	 	
skillxld20	 	
skillxan20	 	
skillxname21	 	
skillxsd21	 	
skillxld21	 	to freeze your enemies\nmagically enhances your arrow or bolt
skillxan21	 	
skillxname22	 	
skillxsd22	 	
skillxld22	 	
skillxan22	 	
skillxname23	 	
skillxsd23	 	
skillxld23	 	
skillxan23	 	
skillxname24	 	
skillxsd24	 	
skillxld24	 	
skillxan24	 	
skillxname25	 	
skillxsd25	 	
skillxld25	 	
skillxan25	 	
skillxname26	 	
skillxsd26	 	
skillxld26	 	
skillxan26	 	
skillxname27	 	
skillxsd27	 	
skillxld27	 	creates a pyre upon impact\ncause severe fire damage and\nenhances arrows or bolts to
skillxan27	 	
skillxname28	 	
skillxsd28	 	
skillxld28	 	
skillxan28	 	
skillxname29	 	
skillxsd29	 	
skillxld29	 	
skillxan29	 	
skillxname30	 	
skillxsd30	 	
skillxld30	 	
skillxan30	 	
skillxname31	 	
skillxsd31	 	
skillxld31	 	to freeze entire groups of monsters\nmagically enhances an arrow or bolt
skillxan31	 	
skillxname32	 	
skillxsd32	 	
skillxld32	 	
skillxan32	 	
skillxname33	 	
skillxsd33	 	
skillxld33	 	
skillxan33	 	
skillxname34	 	
skillxsd34	 	
skillxld34	 	
skillxan34	 	
skillxname35	 	
skillxsd35	 	
skillxld35	 	
skillxan35	 	
skillxname36	 	
skillxsd36	 	
skillxld36	 	
skillxan36	 	
skillxname37	 	
skillxsd37	 	
skillxld37	 	
skillxan37	 	
skillxname38	 	
skillxsd38	 	
skillxld38	 	
skillxan38	 	
skillxname39	 	
skillxsd39	 	
skillxld39	 	
skillxan39	 	
skillxname40	 	
skillxsd40	 	
skillxld40	 	
skillxan40	 	
skillxname41	 	
skillxsd41	 	
skillxld41	 	
skillxan41	 	
skillxname42	 	
skillxsd42	 	
skillxld42	効果範囲内の敵全員の体力を奪う\n激しい放電を発生させ	of all nearby enemies\ncreates an electrical field that reduces life
skillxan42	 	
skillxname43	 	
skillxsd43	 	
skillxld43	 	
skillxan43	 	
skillxname44	 	
skillxsd44	 	
skillxld44	 	
skillxan44	 	
skillxname45	 	
skillxsd45	 	
skillxld45	 	
skillxan45	 	
skillxname46	 	
skillxsd46	 	
skillxld46	 	
skillxan46	 	
skillxname47	 	
skillxsd47	 	
skillxld47	 	
skillxan47	 	
skillxname48	 	
skillxsd48	 	
skillxld48	 	
skillxan48	 	
skillxname49	 	
skillxsd49	 	
skillxld49	 	
skillxan49	 	
skillxname50	 	
skillxsd50	 	
skillxld50	 	
skillxan50	 	
skillxname51	 	
skillxsd51	 	
skillxld51	 	
skillxan51	 	
skillxname52	 	
skillxsd52	 	
skillxld52	 	
skillxan52	 	
skillxname53	 	
skillxsd53	 	
skillxld53	 	
skillxan53	 	
skillxname54	 	
skillxsd54	 	
skillxld54	 	
skillxan54	 	
skillxname55	 	
skillxsd55	 	
skillxld55	 	
skillxan55	 	
skillxname56	 	
skillxsd56	 	
skillxld56	 	
skillxan56	 	
skillxname57	 	
skillxsd57	 	
skillxld57	 	
skillxan57	 	
skillxname58	 	
skillxsd58	 	
skillxld58	 	
skillxan58	 	
skillxname59	 	
skillxsd59	 	
skillxld59	 	
skillxan59	 	
skillxname60	 	
skillxsd60	 	
skillxld60	 	
skillxan60	 	
skillxsname61	 	
skillxsd61	 	
skillxld61	 	
skillxan61	 	
skillxname62	 	
skillxsd62	 	
skillxld62	 	
skillxan62	 	
skillxname63	 	
skillxsd63	パッシヴ - 稲妻ダメージを増幅	passive - increases lightning damage
skillxld63	パッシヴ - 稲妻の呪文で与えるダメージを増幅	passive - increases all damage caused by your lightning spells
skillxan63	 	
skillxname64	 	
skillxsd64	 	
skillxld64	 	
skillxan64	 	
skillxname65	 	
skillxsd65	 	
skillxld65	 	
skillxan65	 	
skillxname66	 	
skillxsd66	 	
skillxld66	 	
skillxan66	 	
skillxname67	 	
skillxsd67	 	
skillxld67	 	
skillxan67	 	
skillxname68	 	
skillxsd68	 	
skillxld68	 	
skillxan68	 	
skillxname69	 	
skillxsd69	 	
skillxld69	 	
skillxan69	 	
skillxname70	 	
skillxsd70	 	
skillxld70	 	
skillxan70	 	
skillxname71	 	
skillxsd71	 	
skillxld71	 	
skillxan71	 	
skillxname72	 	
skillxsd72	 	
skillxld72	 	
skillxan72	 	
skillxname73	 	
skillxsd73	 	
skillxld73	 	
skillxan73	 	
skillxname74	 	
skillxsd74	 	
skillxld74	 	
skillxan74	 	
skillxname75	 	
skillxsd75	 	
skillxld75	 	
skillxan75	 	
skillxname76	 	
skillxsd76	 	
skillxld76	 	
skillxan76	 	
skillxname77	 	
skillxsd77	 	
skillxld77	 	
skillxan77	 	
skillxname78	 	
skillxsd78	 	
skillxld78	 	
skillxan78	 	
skillxname79	 	
skillxsd79	 	
skillxld79	 	
skillxan79	 	
skillxname80	 	
skillxsd80	 	
skillxld80	 	
skillxan80	 	
skillxname81	 	
skillxsd81	 	
skillxld81	 	
skillxan81	 	
skillxname82	 	
skillxsd82	 	
skillxld82	 	
skillxan82	 	
skillxname83	 	
skillxsd83	 	
skillxld83	 	
skillxan83	 	
skillxname84	 	
skillxsd84	 	
skillxld84	 	
skillxan84	 	
skillxname85	 	
skillxsd85	 	
skillxld85	 	
skillxan85	 	
skillxname86	 	
skillxsd86	 	
skillxld86	この呪いは他の呪いで上書きできない\n周囲のモンスター全員が攻撃\n標的のモンスター１体を	this curse may not be overridden by another curse\ntarget of all nearby monsters\ncurses a monster to become the
skillxan86	 	
skillxname87	 	
skillxsd87	 	
skillxld87	 	
skillxan87	 	
skillxname88	 	
skillxsd88	 	
skillxld88	 	
skillxan88	 	
skillxname89	 	
skillxsd89	 	
skillxld89	 	
skillxan89	 	
skillxname90	 	
skillxsd90	 	
skillxld90	 	
skillxan90	 	
skillxname91	 	
skillxsd91	 	
skillxld91	 	
skillxan91	 	
skillxname92	 	
skillxsd92	 	
skillxld92	 	
skillxan92	 	
skillxname93	 	
skillxsd93	 	
skillxld93	 	
skillxan93	 	
skillxname94	 	
skillxsd94	 	
skillxld94	 	
skillxan94	 	
skillxname95	 	
skillxsd95	 	
skillxld95	 	
skillxan95	 	
skillxname96	 	
skillxsd96	 	
skillxld96	 	
skillxan96	 	
skillxname97	 	
skillxsd97	 	
skillxld97	 	
skillxan97	 	
skillxname98	 	
skillxsd98	 	
skillxld98	 	
skillxan98	 	
skillxname99	 	
skillxsd99	 	
skillxld99	 	
skillxan99	 	
skillxname100	 	
skillxsd100	 	
skillxld100	 	
skillxan100	 	
skillxname101	 	
skillxsd101	 	
skillxld101	 	
skillxan101	 	
skillxname102	 	
skillxsd102	 	
skillxld102	 	
skillxan102	 	
skillxname103	 	
skillxsd103	 	
skillxld103	 	
skillxan103	 	
skillxname104	 	
skillxsd104	 	
skillxld104	 	
skillxan104	 	
skillxname105	 	
skillxsd105	 	
skillxld105	 	
skillxan105	 	
skillxname106	 	
skillxsd106	 	
skillxld106	 	
skillxan106	 	
skillxname107	 	
skillxsd107	 	
skillxld107	 	
skillxan107	 	
skillxname108	 	
skillxsd108	 	
skillxld108	 	
skillxan108	 	
skillxname109	 	
skillxsd109	 	
skillxld109	 	
skillxan109	 	
skillxname110	 	
skillxsd110	 	
skillxld110	 	
skillxan110	 	
skillxname111	 	
skillxsd111	 	
skillxld111	 	
skillxan111	 	
skillxname112	 	
skillxsd112	 	
skillxld112	 	
skillxan112	 	
skillxname113	 	
skillxsd113	 	
skillxld113	 	
skillxan113	 	
skillxname114	 	
skillxsd114	 	
skillxld114	 	
skillxan114	 	
skillxname115	 	
skillxsd115	 	
skillxld115	 	
skillxan115	 	
skillxname116	 	
skillxsd116	 	
skillxld116	 	
skillxan116	 	
skillxname117	 	
skillxsd117	 	
skillxld117	 	
skillxan117	 	
skillxname118	 	
skillxsd118	 	
skillxld118	攻撃に稲妻ダメージを追加\n付近の敵にダメージを与えた上に\nまとったオーラから放電が走り、	adds lightning damage to your attack\nto damage nearby enemies\nwhen active, aura causes pulses of electricity
skillxan118	 	
skillxname119	 	
skillxsd119	 	
skillxld119	 	
skillxan119	 	
skillxname120	 	
skillxsd120	 	
skillxld120	 	
skillxan120	 	
skillxname121	 	
skillxsd121	 	
skillxld121	 	
skillxan121	 	
skillxname122	 	
skillxsd122	オーラ - 攻撃のスピードとダメージが上昇	aura - increases attack speed and damage
skillxld122	攻撃値が上昇する\nこのオーラを帯びると、味方の攻撃速度とダメージ、	and attack rating for you and your party\nwhen active, aura increases damage, attack speed,
skillxan122	 	
skillxname123	 	
skillxsd123	オーラ - 敵を弱体化	aura - weakens enemies
skillxld123	 	
skillxan123	 	
skillxname124	 	
skillxsd124	 	
skillxld124	徐々に回復する\n自分と味方のライフとマナが\n敵の死体に近づくと	you life and mana\nthe souls of slain enemies to give\nwhen active, aura attempts to redeem
skillxan124	 	
skillxname125	 	
skillxsd125	 	
skillxld125	 	
skillxan125	 	
skillxname126	 	
skillxsd126	 	
skillxld126	 	
skillxan126	 	
skillxname127	 	
skillxsd127	 	
skillxld127	 	
skillxan127	 	
skillxname128	 	
skillxsd128	 	
skillxld128	 	
skillxan128	 	
skillxname129	 	
skillxsd129	 	
skillxld129	 	
skillxan129	 	
skillxname130	 	
skillxsd130	 	
skillxld130	 	
skillxan130	 	
skillxname131	 	
skillxsd131	 	
skillxld131	 	
skillxan131	 	
skillxname132	 	
skillxsd132	 	
skillxld132	 	
skillxan132	 	
skillxname133	 	
skillxsd133	 	
skillxld133	 	
skillxan133	 	
skillxname134	 	
skillxsd134	 	
skillxld134	 	
skillxan134	 	
skillxname135	 	
skillxsd135	 	
skillxld135	 	
skillxan135	 	
skillxname136	 	
skillxsd136	 	
skillxld136	 	
skillxan136	 	
skillxname137	 	
skillxsd137	 	
skillxld137	 	
skillxan137	 	
skillxname138	 	
skillxsd138	 	
skillxld138	 	
skillxan138	 	
skillxname139	 	
skillxsd139	 	
skillxld139	 	
skillxan139	 	
skillxname140	 	
skillxsd140	 	
skillxld140	 	
skillxan140	 	
skillxname141	 	
skillxsd141	 	
skillxld141	 	
skillxan141	 	
skillxname142	 	
skillxsd142	 	
skillxld142	 	
skillxan142	 	
skillxname143	 	
skillxsd143	 	
skillxld143	 	
skillxan143	 	
skillxname144	 	
skillxsd144	 	
skillxld144	 	
skillxan144	 	
skillxname145	 	
skillxsd145	 	
skillxld145	 	
skillxan145	 	
skillxname146	 	
skillxsd146	 	
skillxld146	 	
skillxan146	 	
skillxname147	 	
skillxsd147	 	
skillxld147	 	
skillxan147	 	
skillxname148	 	
skillxsd148	 	
skillxld148	 	
skillxan148	 	
skillxname149	 	
skillxsd149	 	
skillxld149	 	
skillxan149	 	
skillxname150	 	
skillxsd150	 	
skillxld150	 	
skillxan150	 	
skillxname151	 	
skillxsd151	 	
skillxld151	 	
skillxan151	 	
skillxname152	 	
skillxsd152	 	
skillxld152	 	
skillxan152	 	
skillxname153	 	
skillxsd153	 	
skillxld153	 	
skillxan153	 	
skillxname154	 	
skillxsd154	 	
skillxld154	 	
skillxan154	 	
skillxname155	 	
skillxsd155	 	
skillxld155	 	
skillxan155	 	
strHostileTimeout	そのプレイヤーに敵対を宣言するには、しばらく待たねばならない。	You must wait a short time to declare hostility with that player.
ShrId0	効力のないほこら	Null Shrine
ShrId1	充填のほこら	Refilling Shrine
ShrId2	健康のほこら	Health Shrine
ShrId3	マナのほこら	Mana Shrine
ShrId4	健康交換のほこら	Health Exchange Shrine
ShrId5	マナ交換のほこら	Mana Exchange Shrine
ShrId6	アーマーのほこら	Armor Shrine
ShrId7	戦闘のほこら	Combat Shrine
ShrId8	火炎耐性のほこら	Resist Fire Shrine
ShrId9	冷気耐性のほこら	Resist Cold Shrine
ShrId10	稲妻耐性のほこら	Resist Lightning Shrine
ShrId11	毒物耐性のほこら	Resist Poison Shrine
ShrId12	スキルのほこら	Skill Shrine
ShrId13	マナ回復力のほこら	Mana Recharge Shrine
ShrId14	スタミナのほこら	Stamina Shrine
ShrId15	経験のほこら	Experience Shrine
ShrId16	イナースのほこら	Enirhs Shrine
ShrId17	ポータルのほこら	Portal Shrine
ShrId18	宝石のほこら	Gem Shrine
ShrId19	火のほこら	Fire Shrine
ShrId20	魔物のほこら	Monster Shrine
ShrId21	爆発のほこら	Exploding Shrine
ShrId22	毒のほこら	Poison Shrine
x	新規キャラクター作成	CREATE NEW
CfgSkillPick	スキル・スピードバー	Skill Speed Bar
x	パスワード確認	Verify Password
MercX101	ヴァーダカ	Varaya
MercX102	カーン	Khan
MercX103	クリスク	Klisk
MercX104	ボース	Bors
MercX105	ブロム	Brom
MercX106	ウィグラフ	Wiglaf
MercX107	フロスガー	Hrothgar
MercX108	サイルド	Scyld
MercX109	ヘルフデイン	Healfdane
MercX110	ヒオロガー	Heorogar
MercX111	ハルゴーント	Halgaunt
MercX112	ハイジェラック	Hygelac
MercX113	イグセオウ	Egtheow
MercX114	ボーダン	Bohdan
MercX115	ウルフガー	Wulfgar
MercX116	ヒルド	Hild
MercX117	ヒーソラフ	Heatholaf
MercX118	ウェダー	Weder
MercX119	ヴィキアット	Vikhyat
MercX120	アンファース	Unferth
MercX121	ジークムント	Sigemund
MercX122	ヘレモンド	Heremod
MercX123	ヘンゲスト	Hengest
MercX124	フォルクウォルド	Folcwald
MercX125	フリシアン	Frisian
MercX126	フナエフ	Hnaef
MercX127	ガスラフ	Guthlaf
MercX128	オスラフ	Oslaf
MercX129	ユーメンラフ	Yrmenlaf
MercX130	ガームンド	Garmund
MercX131	フリーワル	Lanth
MercX132	イードジルス	Eadgils
MercX133	オネラ	Onela
MercX134	ダミエン	Damien
MercX135	エルフォー	Erfor
MercX136	ウェオスタン	Weohstan
MercX137	ウールフ	Wulf
MercX138	ブルワイア	Bulwye
MercX139	リーフ	Lief
MercX140	マグナス	Magnus
MercX141	クラトゥー	Klatu
MercX142	ドルス	Drus
MercX143	ホク	Hoku
