String Index	Text
WarrivGossip9	57\n聖堂へ向かう途中の荒野は迷いやすい。\n岩の原の崖にある洞窟が地下通路にな\nっているから、そこを通った方がいい\nだろう。\n
AkaraIntroGossip1	30\n私はアカラ、「見えざる眼」教団の神\n官長です。ようこそ、旅のお方。残念\nながら粗末な宿しか提供できませんが。\n \n \nご覧の通り、我らは忌まわしい呪いに\n苦しんでいます。代々、東への門を守\nる砦でもあった我らの修道院が、女魔\n神アンダリエルに占拠されたのです。\n \n \n信じがたい事ですが、シスターの多く\nが魔神に加勢し、我らを修道院より追\nいました。裏切らなかった者のほとん\nどは命を落とすか、荒野ではぐれまし\nた。\n \nお願いします。どうかお助けください。\nこの呪いをはらってくださるなら、永\n遠の感謝と協力を誓います。\n
AkaraIntroSorGossip1	31\nこんにちは、お若いソーサレスさん。\nこの暗い時代に、あなたのような方が\nいるのは心強い事です。大いなる影に\n立ち向かうには、もっと女の力が必要\nですわ。そうそう、申し遅れました...\n \n \n私はアカラ。「見えざる眼」教団の神\n官長です。ようこそ、旅のお方。残念\nながら粗末な宿しか提供できませんが。\n \n \nご覧の通り、我らは忌まわしい呪いに\n苦しんでいます。代々、東への門を守\nる砦でもあった我らの修道院が、女魔\n神アンダリエルに占拠されたのです。\n \n \n信じがたい事ですが、シスターの多く\nが魔神に加勢し、我らを修道院より追\nいました。裏切らなかった者のほとん\nどは命を落とすか、荒野ではぐれまし\nた。\n \nお願いします。どうかお助けください。\nこの呪いをはらってくださるなら、永\n遠の感謝と協力を誓います。\n
AkaraGossip1	39\n「見えざる眼」教団は、長く輝かしい\n歴史を誇ります。いつしか我らのシス\nターは強力な武装集団となり、同時に、\n自らの運命を自らの手で決めたいと願\nう女性達の砦ともなりました。\n \nしかし、お気をつけなさい。力と知識\nはたやすく悲劇につながります。私は、\n強い勇気や得がたい英知を持つ人が、\n野心や無謀によって身を滅ぼすのを何\n度も見ました。\n \n暗い道を切り開くには、足下に用心す\nるのです。\n
AkaraGossip2	39\nケインという人は、古きホラドリムの\n生き残りで、膨大な知識を持っている\nと聞きます。危機の正体を見きわめる\n手助けをしてくれるかもしれません。\n
AkaraGossip3	35\nカシャは常に炎のごとき忠誠心を示し\nてくれますが、今はその怒りが裏目に\n出はしないかと心配です。自分の下に\n残った仲間をとても大切にしていて、\nよほどの事がないと闘わせようとはし\nません。\n
AkaraGossip4	35\nチャルシは若く無垢な娘です。しかし\nバーバリアンの血のためか、冒険に惹\nかれるようですね。鍛冶の仕事を通し\nて悪に立ち向かう手助けをする事を、\n誇りにしています。\n
AkaraGossip5	40\nワリヴとはあまり親しくありませんが、\nかなりの苦労を重ねてきた人のようで\nすね。しかし地を覆う魔軍の恐ろしさ\nを知りながら、自分のキャラバンを東\nに向かわせる事しか考えていないよう\nに見受けられます。\n
AkaraGossip6	40\n正直なところ、あまりギードには関わ\nりたくありません。常に嘘をまとい、\n成功のためには他人の不幸につけ込む\nような人です。\n
AkaraGossip7	46\n荒野も、そして我らの家たる修道院も、\n魔神の軍勢に占領されております。彼\nらを打ち払い、世界に秩序を取り戻さ\nねばなりません。\n
AkaraGossip8	39\n教団が再興する夢をよく見ます。「見\nえざる眼」は未来の栄光を予見してい\nますが、その時期まではわかりません。\n\n
AkaraGossip9	57\n我々の誇りは心の鍛錬と弓矢の技です...\nそれでこの難局を乗り切れればよいの\nですが。\n
AkaraGossip10	50\n裏切ったローグの二の舞とならぬよう。\n命を失うのも悲劇ですが、魂を失うの\nはそれ以上の悪夢です。\n
AkaraGossip11	36\nかつてのシスターとはいえ、裏切った\n者達に慈悲は無用です。今はアンダリ\nエルの配下なのですから。\n \n女魔神を倒せばシスターらが正気に戻\nる可能性も、あるかもしれません。し\nかし、呪われた契約は永遠かもしれな\nいのです。\n
KashyaIntroGossip1	46\nあばら屋へようこそ。私たちを修道院\nから追い払った魔物を退治に来たんだ\nね。\n \nでも覚えておいて。ローグ族の信仰を\n導くのはアカラでも、戦闘を指揮する\nのは私だよ。ちょっとザコを倒したぐ\nらいじゃ、信用しないからね。\n
KashyaIntroAmaGossip1	46\nへえ。ここでアマゾンに会うとは思わ\nなかったわ。こんな所に来るなんて勇\n敢ねえ。でも、勇敢だった仲間のシス\nターも敵の魔法に倒されたのよ。あん\nたも気をつけてね。\n
KashyaGossip1	48\n子供の頃、アカラがよく話してくれた\nわ。アマゾンの戦士は勇気があって、\nスピアと弓矢が得意だって。私たちロ\nーグ族とあんた達は、似てるわね。\n
KashyaGossip2	53\nデッカード・ケインって男の噂は、部\n下から聞いてるわ。すごい知恵がある\nんだってね。でも戦い方も知らないよ\nうな奴が、そう利口とも思えないけど。\n\n
KashyaGossip3	48\nアカラはずっと私の母親代わりよ。賢\nくていい人なんだけど、修道院を武力\nで取り戻すような強さはないかもね。\n
KashyaGossip4	89\nよそ者は好きじゃないけど、ワリヴは\nまだ信用できそうだね。\n
KashyaGossip5	59\nチャルシは鍛治屋で、武器や防具を扱\nうんだ。かなりの腕だよ。\n \nただし、今はロクな道具がないから間\nに合わせの仕事しかできないけど。\n
KashyaGossip6	40\nギードはブタだね。何度も放り出して\nやろうと思ったけど、チャルシと気が\n合うみたいだからガマンしてるんだ。\n
KashyaGossip7	64\nアンダリエルが教団のシスターを寝返\nらせた方法さえわかれば、みんなを正\n気に戻す事もできるかもしれない。\n
KashyaGossip8	64\n今、教義を守る者は、商人や家畜に囲\nまれて仮住まいさ。\n \n難民キャンプへようこそ。\n
KashyaGossip9	67\nトリストラムの街は自業自得かもよ。\n魔神を地上に放したそうじゃないの。\n
KashyaGossip10	62\n夜には時々、火を囲んで昔話をするん\nだ...修道院を占領された時のことを忘\nれたくてね。\n
CharsiIntroGossip1	40\nこんちは、あたしチャルシ。ここの鍛\n治屋よ。冒険者の人に会えて嬉しいわ。\n\n \nトリストラムがディアブロに襲われた\n時は、教団の戦士がたくさん援軍に出\nて、強力なアイテムをいっぱい持って\n帰ったわ。でもすぐに反撃されて、し\nかもその人達の大部分がアンダリエル\nに寝返っちゃったんだけど。\n
CharsiIntroBarGossip1	50\nわあ、あんたバーバリアン？　ステキ\nだわ。冒険の旅ができるなんて、うら\nやましい。私も行けたらなあ。\n \nそうそう、あたしはチャルシ。ここの\n鍛治屋よ。\n
CharsiGossip1	47\n小さいときからずっと教団にいるんだ\nけど、あたしの本当の親は北の方のバ\nーバリアンで、あたしが赤んぼの時に\n殺されたんだって。アカラから聞いた\nわ。\n \n時々、バーバリアンとして育ってたら\nどんなだったかなって思うわ。\n \nもちろん鍛治屋の仕事は好きだけど、\n冒険とか探検にも行ってみたくてさあ。\n\n
CharsiGossip2	78\nケインのことはよく知らない。なんか\n秘密が多いみたいで。\n
CharsiGossip3	44\nカシャはステキな人よ。よそ者には厳\nしいけど、それも教団を守るためなの。\nでも、仲間のシスターに裏切られたか\nら、それで余計に厳しくなるんだと思\nう。\n
CharsiGossip4	60\nシスター達の裏切りに一番怒ったのは、\nアカラね。神官長として責任を感じた\nみたいだし。\n
CharsiGossip5	80\nワリヴはいい人みたいよ。ちょっとマ\nジメすぎるけど。\n
CharsiGossip6	54\nギードと話すと面白いよ。いろんな場\n所の話を聞かせてくれるの。自分でも\n見てみたいな。\n
CharsiGossip7	84\nシスター達がどうしてアンダリエルに\n寝返ったのか、わかんない。みんな立\n派な戦士だったのに。\n
GheedIntroGossip1	48\nやあ相棒、いらっしゃい！　俺ぁギー\nドだ。あんたとは気が合いそうだね！\n\n \n要るモノがあったら、何でも用意する\nぜ。替えの武器とか、金のカケラとか、\nちっこい宝石とか、そんなのと交換\nだ。\n \nさあさあ、何かないかい？　ウチの商\n品は一生もんだし、２日間の保証つき\nだよ！\n
GheedIntroNecGossip1	44\nネクロマンサー！　二度と会いたくな\nかった手合いだね。騒動のせいで、い\nろんな奴が来やがる。でもあんた、カ\nネはありそうだな...。\n \n要るモノがあったら、何でも用意する\nぜ。替えの武器とか、金のカケラとか、\nちっこい宝石とか、そんなのと交換だ\nだ。\n \nさあさあ、何かないかい？　ウチの商\n品は一生もんだし、２日間の保証つき\nだよ！\n
GheedGossip1	62\nとぼけるんじゃないぜ、あんたらネク\nロマンサーの術はこの目で見たんだ。\n外の魔物とグルだとしても、知りたか\nないね。とっとと取り引きして消えて\nくれ！\n
GheedGossip2	51\nケインってジイさんは頭がおかしいよ。\nトリストラムの生き残りだそうだけど、\n話はまるで信用できないね。\n
GheedGossip3	41\nアカラとカシャは「見えざる眼」教団\nの有力者だけど、両極端だね。アカラ\nは魔力の河で、カシャは燃える火だ。\nどっちも教団への忠誠は絶対で、シス\nター達の裏切りを悲しんでるけどね。\n
GheedGossip4	40\nチャルシはいい子なんだが...商才がな\nいぜ！　武器や防具をあんな値で売っ\nちゃ、儲けが出ないだろうに。\n \n俺の冒険の話にばっかり夢中で、その\n冒険で稼いだカネにゃ興味ないしさ。\n
GheedGossip5	48\nワリヴはまあ、キャラバンに同行させ\nてくれるぐらいは親切なんだが、抜け\n目ない男だ。\n \n俺ぁここで、ローグ族をカモにしよう\nと狙ってんのさ。でも、あんたにゃ負\nけとくよ！\n
GheedGossip6	52\nアンダリエルの軍勢は、修道院だけじ\nゃなく森の家も占領したぜ。俺ぁ外に\nゃ出たかないね。用があったらここに\n来てくれ。\n
GheedGossip7	62\nもしラット・ゴーレインに着けたら、\nナーラント草の煙をたんまり吸って、\nみっちりトリップしたいなあ。\n
CainGossip1	39\n遠い昔、大天使ティラエルがホラドリ\nムにソウルストーンを授けた。３人の\n魔王を封印するためにな。だがその聖\nなる遺物も、ディアブロの力には屈し\nたというわけだ。\n \n残る２人の魔王は、もっとしっかり封\n印されておればよいが...。\n
CainGossip2	54\nスキルの修得には時間がかかる。実戦\nが最高の鍛錬だ。スキルを選ぶ際には\nよく考えるのだぞ。\n
CainGossip3	52\n倒した魔物が、見なれぬ品を持ってい\nる事もあろう。役に立つ品も多いが、\n危険もあるぞ！　鑑定してやるから、\nまずわしに見せよ。\n
CainGossip4	36\nホラドリムの話はしたかな？　これは\n太古、いくつもの魔道師族が魔王たち\nを封印するために結成した盟約組織な\nのだ。だが今では、その存在は半ば忘\nれ去られ、封印さえも解けつつある！\n\n \nホラドリムの生き残りとして頼む。君\nの力を貸してくれ。\n
CainGossip5	32\n遙かな昔、多くの魔神が結託して三魔\n王を地獄より追放したのだが...アンダ\nリエルがディアブロと通じておるとは、\n時勢が変わったのだな。これは不吉な\n兆候だ。\n
RogueSignpostGossip1	90\n 戻れ！　この先に踏み入るには、もっ\nと経験が必要だ！\n
RogueSignpostGossip2	67\n止まれ！　まず、アカラに頼まれたク\nエストを終えるんだ。目指すべき洞窟\nは、もっとキャンプの近くだ。\n
RogueSignpostGossip3	116\n覚悟しな、この先の魔物は強いよ。\n
RogueSignpostGossip4	92\n覚悟しな、命を落とすかもよ！\n
RogueSignpostGossip5	88\n気をつけな！　裏切ったローグ兵は、\nみんな手強いよ！\n
A1Q1InitAkara	37\nカシャの部下達が、恐ろしい報告をも\nたらしました。この近くの洞窟に、呪\nわしい魔物がはびこっているというの\nです。\n \n敵が、このキャンプを襲うために集結\nしているのかもしれません。どうか敵\nの巣窟を見つけ出し、叩いて頂きたい\nと思います。\n \n大いなる眼が見守りますように。\n
A1Q1AfterInitAkara	37\nかの地で、多くの偵察兵が命を落とし\nました。この上損失は出せません。邪\n悪の巣窟へは、あなただけでお願いし\nます。\n
A1Q1AfterInitKashya	87\nあの洞窟の魔物には、腕利きの弓兵が\n何人もやられた。あんたの手に負える\nかな？\n
A1Q1AfterInitCharsiMain	95\n魔物は洞窟を拠点にして村を荒らして\nるのよ。外を歩くなら気をつけてね。\n
A1Q1AfterInitCharsiAlt	81\n立派な戦士みたいね。頑張ってね。\n
A1Q1AfterInitGheed	62\nあんたぁ勇敢だねぇ！　あの穴に入る\nなんて、病気持ちの商売女に突っ込む\nよりおっかないぜ！\n
A1Q1AfterInitWarriv	134\nあの洞穴を探る者は死に出会う。\n
A1Q1EarlyReturnAkara	85\n洞窟の魔物を残らず倒すまで、あなた\nの務めは終わりません。\n
A1Q1EarlyReturnKashya	108\n信用されたいなら、しっかりやりな。\n
A1Q1EarlyReturnCharsi	148\nまだ洞窟は終わらない？　何かいるの？\n\n
A1Q1EarlyReturnGheed	73\nまだ穴掃除は終わんないんだろ？　も\nっといい武器を買わないか？\n
A1Q1EarlyReturnWarriv	120\nためらう心に道理あり。\n
A1Q1SuccessfulAkara	65\n邪悪の巣窟を滅ぼしたのですね。やっ\nと信頼できる人を見つけることができ\nました。\n \nお礼に、お望みのスキルを授けましょ\nう。\n
A1Q1SuccessfulKashya	62\nあんたが生き残るとは思わなかったな。\nアカラに会えば、ほうびがもらえるよ。\n \n
A1Q1SuccessfulCharsi	94\n本当に勇敢で強いのね。アカラが心配\nしてたのに。\n
A1Q1SuccessfulGheed	78\nいい魔物は死んだ魔物だけさ。\n \nところで洞窟で、何か売れそうな物は\n見つけたかい？\n
A1Q1SuccessfulWarriv	117\n生ある限り、全てが試練だ。\n
A1Q2InitKashya	42\n偵察隊から恐ろしい報告を聞いた。修\n道院の墓地が荒らされてるんだ！\n \nアンダリエルは命を奪うだけじゃ足り\nないらしい。ウチの士官で、トリスト\nラムの街でディアブロと闘ったブラッ\nド・レイヴンも、死から蘇って敵にな\nった。\n \n彼女は修道院の墓地を掘り返して、仲\n間の死体をゾンビに変えてる。\n \nそんな冒涜は許せない。頼むからブラ\nッド・レイヴンを倒してくれ！\n
A1Q2AfterInitKashya	75\nブラッド・レイヴンは生前も勇敢だっ\nたけど、死んでますます強くなったよ\nうだよ。\n
A1Q2AfterInitCharsi	99\nブラッド・レイヴンは、トリストラム\nでディアブロと闘った部隊の隊長だっ\nたのよ。\n
A1Q2AfterInitGheed	94\n生き返った死体の話はしたくない。返\n品お断りの主義に反するんでね。\n
A1Q2AfterInitAkara	43\nブラッド・レイヴンはトリストラムの\nカタコンベで勇敢に戦いましたが、そ\nの後変わってしまいました。魔神の影\n響を伝染させたのも彼女のようです。\n
A1Q2AfterInitWarriv	140\nふうむ...\n \n死者をどうして殺せようか？\n
A1Q2EarlyReturnKashya	99\nグズグズしてる間に、ブラッド・レイ\nヴンのゾンビ軍はどんどん増えるよ！\n
A1Q2EarlyReturnAkara	65\nブラッド・レイヴンを倒せなければ、\n教団はおしまいです。\n
A1Q2EarlyReturnCharsi	65\n直接の攻撃を受ける前から、アカラは\n異変を感じてたみたい。ブラッド・レ\nイヴンがトリストラムの地下で敵の魔\n力を受けていたのね。\n \nそのとき動いておけば...\n
A1Q2EarlyReturnGheed	73\nメルラって女もゾンビになったのかな？\nあいつにゃ色々と噂があるんだが。\n \n
A1Q2EarlyReturnWarriv	83\n死者が蘇り生者を襲う、その恐怖は想\n像を絶する。\n
A1Q2SuccessfulKashya	45\nホントにブラッド・レイヴンを倒せた\nんだね！\n \n元は私の親友だったけど、これで安ら\nかに眠れるよう祈るよ。\n \n今後はあんたを信用するわ。協力も惜\nしまない。部下の精鋭をつけてあげる。\n \n
A1Q2SuccessfulAkara	122\nアンダリエルに、この報いを受けさせ\nなければ！\n
A1Q2SuccessfulCharsi	73\nカシャがブラッド・レイヴンを倒して\nくれたお礼をしたいって。あたしも感\n謝するわ。元は仲間だった人だけどね。\n \n
A1Q2SuccessfulGheed	148\nここの娘は最初のうちは素っ気ないん\nだ。\n
A1Q2SuccessfulWarriv	104\n見事なものだな。その努力が報われる\nことを祈る。\n
A1Q4InitAkara	42\nただ武力のみで魔神と戦っても、勝利\nは望めません。\n \n古代の英知を究めたホラドリムの賢者\nが、今もただ一人だけ残っています。\n名はデッカード・ケイン。\n \nトリストラムに旅して彼を捜すのです。\n \n
A1Q4AfterInitScrollKashya	90\nイニファスの樹皮に秘密のルーン文字\nが隠されてる。\n \nアカラが翻訳してくれるよ。\n
A1Q4AfterInitScrollAkara	36\nトリストラムは遠く、歩いて着く頃に\nはケインの命がありません。一瞬でか\nの地に行ける魔法の門をお使いなさい。\n \n \nケルンの輪の中に立ち、一定の順序で\n石に触れれば、その門が働きます。順\n序は、イニファスの樹の皮にルーン文\n字で書かれています。\n \n聖なるイニファスの樹を見つけ、皮を\n持ち帰るのです。私が翻訳してあげま\nしょう。\n
A1Q4AfterInitScrollCharsi	114\nアカラにイニファスの皮を渡せば、ト\nリストラムに行けるよ。\n
A1Q4AfterInitScrollWarriv	54\n何人かトリストラムの生き残りに会っ\nたが、ケインは半ば狂って夢と現実の\n区別がつかなくなっていると聞いた。\n
A1Q4AfterInitScrollGheed	98\nトリストラムなんかに行くよりゃ、ビ\nールに小便混ぜて飲む方がマシだね！\n
A1Q4InstructionsCharsi	150\nイニファスの樹皮がないとケインに会\nえないよ。\n
A1Q4EarlyReturnSAkara	71\nケインに会いたくはないのですか？　\nイニファスの樹を探すことが旅の第一\n歩です。\n
A1Q4EarlyReturnSKashya	96\nイニファスの樹は見つけにくいけど、\n一目見ればわかるわ。\n
A1Q4EarlyReturnSGheed	99\n他の樹の皮をはいだのかい？　よく見\nなよ。\n
A1Q4EarlyReturnSWarriv	66\n求める物を見失ったなら、己の心のう\nちを見よ...あるいは、さらに探せ。\n
A1Q4SuccessfulScrollKashya	71\nこれがあれば、トリストラムへの道が\n開けるね。アカラに読んでもらいなよ。\n\n
A1Q4SuccessfulScrollCharsi	168\nこれは、アカラの所へ持ってって。\n \n読めるのはあの人だけよ。\n
A1Q4SuccessfulScrollGheed	72\nおいおい、俺ぁたいがい変な品も扱う\nが、木の皮は買わねえ。\n
A1Q4SuccessfulScrollWarriv	85\nこれは私には読めない。アカラに頼む\nんだ。\n
A1Q4InstructionsAkara	54\nお見事です。説明を書き留めておきま\nした。ケルンの輪を見つけ、この通り\nの手順で石に触れなさい。\n
A1Q4EarlyReturnKashya	93\nケインは敵の手がかりをよく知ってる\nんだ。頼むよ！\n
A1Q4EarlyReturnCharsi	86\nトリストラムは全滅したけど、ケイン\nに会えなきゃあたしらも全滅ね。\n
A1Q4EarlyReturnGheed	63\nトリストラムは今、宴会場みたいだっ\nて聞くぜ...バーバリアンが騒いだ後の！\n無事の帰りを待ってるよ。\n
A1Q4EarlyReturnWarriv	74\n危険すぎる旅だ。私は同行できない。\n
A1Q4EarlyReturnAkara	54\n生きているとしても、ケインの命は風\n前の灯でしょう。どうか急いでくださ\nい。\n
A1Q4QuestSuccessfulAkara	82\nありがとう、ケインを救ってくれたの\nですね。\n \n彼の話をよくお聞きなさい。\n
A1Q4QuestSuccessfulKashya	67\nまったく大したもんだね。\n \nケインを連れてきてくれて、本当にあ\nりがとう。アカラに会っておくといい\nよ。\n
A1Q4QuestSuccessfulGheed	48\nケインが来た...新しい客だ！　こんな\nに幸せな気分は、美人の生娘に言い寄\nられた時以来だよ。\n
A1Q4QuestSuccessfulCharsi	102\nアカラがあんたにお礼したいそうよ。\n
A1Q4QuestSuccessfulWarriv	75\nケインを救出できたとは、素晴らしい\n勇気だ。急いでアカラに会うといい。\n
A1Q4QuestSuccessfulCain	74\n感謝のしるしに、いつでもアイテムを\n鑑定してやろう。金などいらんよ。\n
A1Q4RescuedByHeroCain	82\nありがとう、これで助かった。\n
A1Q4RescuedByRoguesCain	75\nローグ族に栄えあれ！　ようやく呪わ\nれた地から抜け出せた！\n
A1Q4TragedyOfTristramCain	26\n残念ながらトリストラムの悲劇を防ぐ\nことはできず、最も恐れていた事態が\n起こってしまった。恐怖の王ディアブ\nロが、再び地上に解き放たれたのだ！\n\n \n知っての通り、ディアブロは先日トリ\nストラムの地下で倒された。勇者の勝\n利を知った我々は、街中を挙げて何日\nも祝宴を開いた。\n \nだがそのうち、勇者は人を遠ざけ、暗\nい部屋でふさぎ込むことが多くなった。\nわしはてっきり、悪夢のような戦いの\n記憶に苦しんでいるのだろうと思った。\n \n \n彼の具合は次第に悪くなり、夜中にう\nなされるようになった。「東」とか何\nとか叫んで、飛び起きる事もあった。\n \n \nある日勇者は消え、そのすぐ後、街は\n魔物の軍に襲われた。住民のほとんど\nは殺され、わしは牢に投げ込まれた。\n飢え死にさせる気だったのだ。\n \n修道院が陥落する前に現れた黒衣の放\n浪者というのは、トリストラムの勇者\nのなれの果てだろう。\n \nあまり考えたくはないが...ディアブロ\nが、勇者の体を奪って蘇ったのかもし\nれん。だとすれば奴は、今までになく\n強大だぞ！\n \n奴を倒さねば、この世は終わりだ。\n
A1Q5InitQuestTome	28\nかつて、ある伯爵夫人は人の生き血を\n若返りの妙薬と信じ、百人もの乙女を\n殺してその血を浴びた。だが悪事は露\n見して彼女は生き埋めにされ、その居\n城だった塔はたちまち廃墟と化した。\n神に見放された荒野にそびえるその姿\nは、あたかも邪悪の記念碑のごとくで\nあった。\n \n伯爵夫人の財産は聖職者に没収され分\n配されたが、まだ塔に隠された財宝が\n残っているとも噂されている。人類の\n悪の極みを目撃した犠牲者の遺骨とと\nもに、静かに埋もれていると...。\n
A1Q5AfterInitGheed	110\nあの塔に残ってるモノなんざ、ネズミ\nのフンぐらいさ。\n
A1Q5AfterInitCharsi	61\nあの塔は相当ひどく傷んでるらしいわ。\n教団のシスターが探検に入って、頭の\n上の階段が崩れて死んだ事もあるんで\nすって。\n
A1Q5AfterInitAkara	56\n危険なのは建物のもろさだけではあり\nません。毒ガスに倒れた者も多くおり\nました。\n
A1Q5AfterInitCain	49\nかの塔は叙事詩にも詠われたほどの難\n所だ。恐ろしい悲惨に耐えねばならぬ。\n\n
A1Q5AfterInitWarriv	70\n埋もれた財宝の噂は、どこにでもある。\n惑わされて命を落とす者も、どこにで\nもいる。\n
A1Q5AfterInitKashya	75\n歴史書には財宝の記録が残ってるんだ\nけど、あたしらが見つけたのは廃墟と\n骸骨だけさ。\n
A1Q5EarlyReturnKashya	151\n宝探しはあきらめたのかい？\n
A1Q5EarlyReturnCain	94\n素早く入り素早く出よ。言えるのはそれ\nれだけだ。\n
A1Q5EarlyReturnWarriv	118\n満ちた墓より空の財布の方がよい。\n
A1Q5EarlyReturnCharsi	160\nまだやめる気はないでしょ？\n
A1Q5EarlyReturnAkara	140\nあの塔について知ることは残らず話し\nました。\n
A1Q5EarlyReturnGheed	76\n尻のオデキにあんたの名前をつけたん\nだ。座るたんびに俺を苦しめるからよ！\n\n
A1Q5SuccessfulKashya	60\n当然だけど、宝は取っときな。どうせ\nあたしらじゃ見つけられなかったんだ\nし。\n
A1Q5SuccessfulWarriv	50\n富は雲のように移ろいやすい。ギード\nは無視することだ。弱い犬ほどよく吠\nえる。\n
A1Q5SuccessfulGheed	64\nワリヴの言葉は屁と同じさ。しばらく\n空気を汚してすぐ消える。\n
A1Q5SuccessfulAkara	49\n塔の財宝など根も葉もない噂だと思っ\nておりましたが、成果を挙げられて何\nよりです。その幸運に我らもあやかり\nたいものですね。\n
A1Q5SuccessfulCharsi	126\nそのお宝で、これからの旅が楽になる\nよ。\n
A1Q5SuccessfulCain	66\nよくやった。君は、勇気と強運の両方\nに恵まれておるな。\n
A1Q3InitCharsi	55\n実は修道院から逃げるとき、魔法の鍛\n冶用ハンマー、ホラドリック・マリュ\nスを置いて来ちゃったの。持ってきて\nくれたら、あんたの武器か防具に魔力\nを吹き込んであげられるわ。\n
A1Q3AfterInitCain	45\nそれは、罪悪戦争の時代にホラドリム\nの魔道師が鍛えて術を施したハンマー\nだな。ホラドリムの組織が解体された\nとき、東への道を守るこの教団に託さ\nれたものだ。\n
A1Q3AfterInitAkara	50\nホラドリック・マリュスは修道院にあ\nりますが、あの建物はいまや地獄の魔\n獣に埋め尽くされております。お気を\nつけて。\n
A1Q3AfterInitKashya	60\nチャルシほどの鍛治屋が普通のハンマ\nーを使うなんてもったいないよ。ホラ\nドリック・マリュスがあれば、立派な\n武器や防具を作ってくれるはずさ。\n
A1Q3AfterInitCharsi	87\n修道院の構造は複雑で、あたし達でも\n迷うほどよ。気をつけて。\n
A1Q3AfterInitGheed	72\nチャルシは最近、そのハンマーの話し\nかしねえんだ。まったくサミシイよ。\n\n \nとっとと持ってきてくれ。\n
A1Q3AfterInitGheedAlt	81\n魔法の肉棒なら、俺のを貸してやるの\nにな。\n
A1Q3AfterInitWarriv	62\n射手に弓と矢、画工に紙とペンが欠か\nせないように、チャルシの仕事にホラ\nドリック・マリュスは欠かせない。\n
A1Q3EarlyReturnCain	52\nなかなか見つからんようだな。兵舎の\n方をよく探すのだ。教団の鍛冶場はそ\nこにあったそうだぞ。\n
A1Q3EarlyReturnAkara	98\nこのクエストを終えなければ、この先\nの敵と戦うのは難しくなります。\n
A1Q3EarlyReturnKashya	58\nアンダリエルと戦うには、腕と度胸だ\nけじゃだめだよ。魔法で強化された武\n器と防具がないと。\n
A1Q3EarlyReturnCharsi	89\nあのハンマーはホントに凄いのよ。お\n願いだから頑張って。\n
A1Q3EarlyReturnGheed	81\nまだ見つからねえって？\n
