Eng	JPN
Bearded Axe	鉤付きアックス
Military Axe	ミリタリーアックス
Naga	ナーガ
Crowbill	クロウビル
Twin Axe	ツインアックス
Cleaver	クリーヴァー
Gothic Sword	ゴシック・ソード
Wrist Blade	リスト・ブレイド
Blade Talons	ブレイド・タロンズ
Scissors Katar	シザース・カタール
Wrist Spike	リスト・スパイク
Hand Scythe	ハンド・サイズ
Greater Claws	グレイター・クローズ
Greater Talons	グレイター・タロンズ
Scissors Quhab	シザース・クハーブ
Suwayyah	スゥエイヤー
Wrist Sword	リスト・ソード
War Fist	ウォー・フィスト
Battle Cestus	バトル・セスタス
Feral Claws	フェラル・クローズ
Runic Talons	ルーニック・タロンズ
Scissors Suwayyah	シザース・スゥエイヤー
Small Crescent	スモール・クレッセント
Ettin Axe	エティン・アックス
War Spike	ウォー・スパイク
Beserker Axe	バーサーカー・アックス
Feral Axe	フェラル・アックス
Silver-edged Axe	シルバー・エッジド・アックス
Decapitator	ディキャピテイター
Champion Axe	チャンピオン・アックス
Glorious Axe	グロリアス・アックス
Polished Wand	ポリッシュト・ワンド
Ghost Wand	ゴースト・ワンド
Lich Wand	リッチ・ワンド
Unearthed Wand	アンアースト・ワンド
Truncheon	トランチャン
Mighty Scepter	マイティ・セプター
Seraph Rod	セラフ・ロッド
Caduceus	カデューシアス
Tyrant Club	タイラント・クラブ
Reinforced Mace	リインフォースト・メイス
Devil Star	デヴィル・スター
Legendary Mallet	レジェンダリー・マレット
Ogre Maul	オウガ・モール
Thunder Maul	サンダー・モール
Falcata	ファルカタ
Ataghan	アタガン
Elegant Blade	エレガント・ブレイド
Hydra Edge	ハイドラ・エッジ
Phase Blade	フェイズ・ブレイド
Conquest Sword	コンクエスト・ソード
Cryptic Sword	クリプティック・ソード
Mythical Sword	ミシカル・ソード
Legend Sword	レジェンド・ソード
Highland Blade	ハイランド・ブレイド
Balrog Blade	バルログ・ブレイド
Champion Sword	チャンピオン・ソード
Colossus Sword	コロッサス・ソード
Colossus Blade	コロッサス・ブレイド
Bone Knife	ボーン・ナイフ
Mithril Point	ミスリル・ポイント
Fanged Knife	ファングド・ナイフ
Legend Spike	レジェンド・スパイク
Flying Knife	フライング・ナイフ
Flying Axe	フライング・アックス
Winged Knife	ウィングド・ナイフ
Winged Axe	ウィングド・アックス
Hyperion Javelin	ハイペリオン・ジャベリン
Stygian Pilum	スティジアン・パイラム
Balrog Spear	バルログ・スピア
Ghost Glaive	ゴースト・グレイヴ
Winged Harpoon	ウィングド・ハープーン
Hyperion Spear	ハイペリオン・スピア
Stygian Pike	スティジアン・パイク
Mancatcher	マンキャッチャー
Ghost Spear	ゴースト・スピア
War Pike	ウォー・パイク
Ogre Axe	オウガ・アックス
Colossus Voulge	コロッサス・バウルジ
Thresher	スレッシャー
Cryptic Axe	クリプティック・アックス
Great Poleaxe	グレイト・ポールアックス
Giant Thresher	ジャイアント・スレッシャー
Walking Stick	ウォーキング・スティック
Stalagmite	スタラグマイト
Elder Staff	エルダー・スタッフ
Shillelagh	シレイリ
Archon Staff	アーカン・スタッフ
Spider Bow	スパイダー・ボウ
Blade Bow	ブレイド・ボウ
Shadow Bow	シャドウ・ボウ
Great Bow	グレイト・ボウ
Diamond Bow	ダイアモンド・ボウ
Crusader Bow	クルセイダー・ボウ
Ward Bow	ウォード・ボウ
Hydra Bow	ハイドラ・ボウ
Pellet Bow	ペレット・ボウ
Gorgon Crossbow	ゴーゴン・クロスボウ
Colossus Crossbow	コロッサス・クロスボウ
Demon Crossbow	デーモン・クロスボウ
Eagle Orb	イーグル・オーブ
Sacred Globe	セイクリッド・グローブ
Smoked Sphere	スモークト・スフィア
Clasped Orb	クラスプト・オーブ
Stag Bow	スタッグ・ボウ
Reflex Bow	リフレックス・ボウ
Maiden Spear	メイデン・スピア
Maiden Pike	メイデン・パイク
Maiden Javelin	メイデン・ジャベリン
Glowing Orb	グローイング・オーブ
Crystalline Globe	クリスタリン・グローブ
Cloudy Sphere	クラウディ・スフィア
Sparkling Ball	スパークリング・ボール
Swirling Crystal	スワーリング・クリスタル
Ashwood Bow	アッシュウッド・ボウ
Ceremonial Bow	セレモニアル・ボウ
Ceremonial Spear	セレモニアル・スピア
Ceremonial Pike	セレモニアル・パイク
Ceremonial Javelin	セレモニアル・ジャベリン
Heavenly Stone	ヘヴンリー・ストーン
Eldritch Orb	エルドリッチ・オーブ
Demon Heart	デーモン・ハート
Vortex Orb	ヴォーテックス・オーブ
Dimensional Shard	ディメンショナル・シャード
Matriarchal Bow	メイトリアーカル・ボウ
Grand Matron Bow	グランド・メイトロン・ボウ
Matriarchal Spear	メイトリアーカル・スピア
Matriarchal Pike	メイトリアーカル・パイク
Matriarchal Javelin	メイトリアーカル・ジャベリン
Falcon Mask	ファルコン・マスク
Hawk Helm	ホーク・ヘルム
Wolf Head	ウルフ・ヘッド
Spirit Mask	スピリット・マスク
Jawbone Cap	ジョウボーン・キャップ
Fanged Helm	ファングド・ヘルム
Horned Helm	ホーンド・ヘルム
Assault Helmet	アソールト・ヘルメット
Avenger Guard	アヴェンジャー・ガード
Targe	タージ
Rondache	ロンダッシュ
Heraldic Shield	ヘラルディック・シールド
Aerin Shield	アエリン・シールド
Crown Shield	クラウン・シールド
Preserved Head	プリザーブド・ヘッド
Zombie Head	ゾンビー・ヘッド
Unraveller Head	アンラヴェラー・ヘッド
Gargoyle Head	ガーゴイル・ヘッド
Demon Head	デーモン・ヘッド
Circlet	サークレット
Coronet	コロネット
Tiara	ティアラ
Diadem	ダイアデム
Shako	シャコー
Hydraskull	ハイドラスカル
Armet	アーメット
Giant Conch	ジャイアント・カンク
Spired Helm	スパイアード・ヘルム
Corona	コロナ
Demonhead	デーモンヘッド
Dusk Shroud	ダスク・シュラウド
Wyrmhide	ワームハイド
Scarab Husk	スカラブ・ハスク
Wire Fleece	ワイア・フリース
Diamond Mail	ダイアモンド・メイル
Loricated Mail	ロリケイティッド・メイル
Boneweave	ボーンウィーヴ
Great Hauberk	グレイト・ホーバーク
Balrog Skin	バルログ・スキン
Hellforge Plate	ヘルフォージ・プレート
Kraken Shell	クラーケン・シェル
Lacquered Plate	ラッカード・プレート
Shadow Plate	シャドウ・プレート
Sacred Armor	セイクリッド・アーマー
Archon Plate	アルコン・プレート
Heater	ヒーター
Luna	ルナ
Hyperion	ハイペリオン
Monarch	モナーク
Aegis	イージス
Ward	ウォード
Bramble Mitts	ブランブル・ミッツ
Vampirebone Gloves	ヴァンパイアボーン・グローブ
Vambraces	ヴァンブレイシズ
Crusader Gauntlets	クルセイダー・ガントレット
Ogre Gauntlets	オウガ・ガントレット
Wyrmhide Boots	ワームハイド・ブーツ
Scarabshell Boots	スカラブシェル・ブーツ
Boneweave Boots	ボーンウィーヴ・ブーツ
Mirrored Boots	ミラード・ブーツ
Myrmidon Greaves	ミュルミドーン・グリーヴ
Spiderweb Sash	スパイダーウェブ・サッシュ
Vampirefang Belt	ヴァンパイアファング・ベルト
Mithril Coil	ミスリル・コイル
Troll Belt	トロール・ベルト
Colossus Girdle	コロッサス・ガードル
Bone Visage	ボーン・ヴィズィッジ
Troll Nest	トロール・ネスト
Blade Barrier	ブレイド・バリア
Sacred Feathers	セイクリッド・フェザーズ
Griffon Headdress	グリフォン・ヘッドドレス
Hunter's Guise	ハンターズ・ガイス
Alpha Helm	アルファ・ヘルム
Totemic Mask	トーテミック・マスク
Jawbone Visor	ジョウボーン・ヴァイザー
Lion Helm	ライオン・ヘルム
Rage Mask	レイジ・マスク
Savage Helmet	サヴェッジ・ヘルメット
Slayer Guard	スレイヤー・ガード
Akaran Targe	アカラン・タージ
Akaran Rondache	アカラン・ロンダッシュ
Protector Shield	プロテクター・シールド
Gilded Shield	ギルデッド・シールド
Royal Shield	ロイヤル・シールド
Mummified Trophy	マミファイド・トロフィー
Fetish Trophy	フェティッシュ・トロフィー
Sexton Trophy	セクストン・トロフィー
Cantor Trophy	キャンター・トロフィー
Hierophant Trophy	ハイエロファント・トロフィー
Sky Spirit	スカイ・スピリット
Sun Spirit	サン・スピリット
Earth Spirit	アース・スピリット
Blood Spirit	ブラッド・スピリット
Dream Spirit	ドリーム・スピリット
Carnage Helm	カーネイジ・ヘルム
Fury Visor	フューリー・ヴァイザー
Destroyer Helm	デストロイヤー・ヘルム
Conqueror Crown	コンクァラー・クラウン
Guardian Crown	ガーディアン・クラウン
Sacred Targe	セイクリッド・タージ
Sacred Rondache	セイクリッド・ロンダッシュ
Zakarum Shield	ザカラム・シールド
Vortex Shield	ヴォーテックス・シールド
Minion Skull	ミニオン・スカル
Hellspawn Skull	ヘルスポーン・スカル
Overseer Skull	オーヴァーシーアー・スカル
Succubus Skull	サキュバス・スカル
Bloodlord Skull	ブラッドロード・スカル
Compound Bow	コンパウンド・ボウ
Serpent Bow	サーペント・ボウ
Maple Bow	メイプル・ボウ
Viper Bow	ヴァイパー・ボウ
Recurve Bow	リカーブ・ボウ
Spatha	スパタ
Backsword	バックソード
Ida	エイダ
Bronze Sword	ブロンズ・ソード
Kriegsmesser	クリーグスマッシャー
Bonebreaker	ボーンブレイカー
Goedendag	グデンダグ
Angel Star	エンジェル・スター
Hand of God	ハンド・オブ・ゴッド
Needle Crossbow	ニードル・クロスボウ
Dart Thrower	ダート・スロワー
Stinger Crossbow	スティンガー・クロスボウ
Trebuchet	トレバシェット
Gambeson	ジャンブゾン
Lamellar Armor	ラメラー・アーマー
Kazarghand	カザーグハンド
Banded Plate	バンデッド・プレート
Ceremonial Armor	セレモニアル・アーマー
Morion	モリオン
Cervelliere	サーブレア
Einherjar Helm	エインヘルヤル・ヘルム
Spangenhelm	スパンゲンヘルム
Jared's Stone	ジャレッズ・ストーン
Kurast Shield	クラスト・シールド
Hatchet Hands	ハチェット・ハンズ
Parma	パルマ
Aspis	アスピス
Totem Shield	トーテム・シールド
Bladed Shield	ブレード・シールド
Naginata	薙刀
Raptor Scythe	ラプター・サイズ
Bonesplitter	ボーンスプリッター
Mammen Axe	マーマン・アックス
Hammerhead Axe	ハンマーハンド・アックス
Ono	斧
Valaska	ヴァラスカ
Labrys	ラブリュス
Flamen Staff	フレイムン・スタッフ
Marrow Staff	マロウ・スタッフ
Hexblade	ヘクスブレイド
Spirit Edge	スピリット・エッジ
Holy Lance	ホーリー・ランス
Tepoztopilli	テポストピリー
Warp Blade	ワープ・ブレイド
Athulua's Hand	アスルアズ・ハンド
Phoenix Shield	フェニックス・シールド
Setzschild	セッツァチャイルド
Bull Shield	ブル・シールド
Bronze Shield	ブロンズ・シールド
Gilded Shield	ギルディッド・シールド
Hundsgugel	ファウンズグーゲル
Blackguard Helm	ブラックガード・ヘルム
Wraps	ラップス
Skull Cap	スカルキャップ
Cap	キャップ
Full Helm	フル・ヘルム
Great Helm	グレイト・ヘルム
Field Plate	フィールドプレート
Helm	ヘルム
Crown	冠
Knuckles	ナックルズ
Slashers	スラッシャーズ
Splay	スプレイ
Hook	フック
Shank	シャンク
Claws	クローズ
Bill	長鉾
Spear	スピア
Trident	トライデント
Brandistock	ブランディストック
Scythe	大鎌
Poleaxe	ポールアックス
Halberd	ハルバード
Spetum	スペタム
Glaive	グレイヴ
Javelin	ジャベリン
Dagger	ダガー
Mace	メイス
Flail	フレイル
Club	クラブ
Greaves	グリーヴ
Sash	サッシュ
Light Belt	ライトベルト
Gauntlets	ガントレット
Boots	ブーツ
Plate Mail	プレートメイル
Light Plate	ライト・プレート
Buckler	バックラー
Mask	マスク
Belt	ベルト
Axe	アックス
Wand	ワンド
Scepter	セプター
Maul	モール
Dirk	短刀
Kris	クリース
Blade	ブレイド
Pilum	パイラム
Pike	パイク
Bardiche	バーダイク
Voulge	バウルジ
Lance	ランス
Yari	東洋の槍
Katar	カタール
Cestus	セスタス
Claws	クローズ
Quhab	クハーブ
Fascia	ファシア
Tomahawk	トマホーク
Scourge	スカージ
Antlers	アントラーズ
Hatchet	ハチェット
Crossbow	クロスボウ
Amulet	アミュレット
Ring	リング
Arrow Quiver	矢
Bolt Quiver	ボルト
