Index	Name	Name
AkaraIntroSorGossip1	34\nGreetings, young Sorceress. It is good \nto see more of your kind at work in the \nworld these dark days. In my opinion, \nthe world needs more women to fight \nagainst the great shadow. But I am \nforgetting my manners... \n \nI am Akara, High Priestess of the \nSisterhood of the Sightless Eye. I \nwelcome you, traveler, to our camp, \nbut I'm afraid I can offer you but poor \nshelter within these rickety walls.\n \nYou see, our ancient Sisterhood has \nfallen under a strange curse. The \nmighty Citadel from which we have \nguarded the gates to the East for \ngenerations, has been corrupted by the \nevil Demoness, Andariel.\n \nI still can't believe it... but she turned \nmany of our sister Rogues against us \nand drove us from our ancestral home. \nNow the last defenders of the \nSisterhood are either dead or scattered \nthroughout the wilderness.\n \nI implore you, stranger: please help us. \nFind a way to lift this terrible curse and \nwe will pledge our loyalty to you for all \ntime.\n	31\nこんにちは、お若いソーサレスさん。\nこの暗い時代に、あなたのような方が\nいるのは心強い事です。大いなる影に\n立ち向かうには、もっと女の力が必要\nですわ。そうそう、申し遅れました...\n \n \n私はアカラ。「見えざる眼」教団の神\n官長です。ようこそ、旅のお方。残念\nながら粗末な宿しか提供できませんが。\n \n \nご覧の通り、我らは忌まわしい呪いに\n苦しんでいます。代々、東への門を守\nる砦でもあった我らの修道院が、女魔\n神アンダリエルに占拠されたのです。\n \n \n信じがたい事ですが、シスターの多く\nが魔神に加勢し、我らを修道院より追\nいました。裏切らなかった者のほとん\nどは命を落とすか、荒野ではぐれまし\nた。\n \nお願いします。どうかお助けください。\nこの呪いをはらってくださるなら、永\n遠の感謝と協力を誓います。\n
AkaraGossip1	42\nThe Sisterhood of the Sightless Eye has \na long and distinguished history. Over \nthe generations our Order has become \na deadly fighting force as well as a \nbastion for women who sought to forge \ntheir own destiny.\n \nYet beware, young one, the lure of \npower and knowledge can lead to \ndisaster. I have seen ambition foul the \nbravest of hearts and recklessness dull \nhard-won wisdom.\n \nYou would do well to tread lightly upon \nthe dark path you have chosen to \nexplore.\n	39\n「見えざる眼」教団は、長く輝かしい\n歴史を誇ります。いつしか我らのシス\nターは強力な武装集団となり、同時に、\n自らの運命を自らの手で決めたいと願\nう女性達の砦ともなりました。\n \nしかし、お気をつけなさい。力と知識\nはたやすく悲劇につながります。私は、\n強い勇気や得がたい英知を持つ人が、\n野心や無謀によって身を滅ぼすのを何\n度も見ました。\n \n暗い道を切り開くには、足下に用心す\nるのです。\n
AkaraGossip2	49\nI understand that Cain is the last \ndescendant of the ancient Horadrim \nand that his knowledge of their lore is \nvast. He could prove to be very useful \nin discerning the nature of our current \ncrisis.\n	39\nケインという人は、古きホラドリムの\n生き残りで、膨大な知識を持っている\nと聞きます。危機の正体を見きわめる\n手助けをしてくれるかもしれません。\n
AkaraGossip3	49\nKashya has always been fiercely loyal, \nbut I fear her anger and frustration \nover these recent events will lead her \ninto harm's way. She is highly \nprotective of the few Rogues remaining \nunder her command and will not send \nthem into combat unless there is dire \nneed.\n	35\nカシャは常に炎のごとき忠誠心を示し\nてくれますが、今はその怒りが裏目に\n出はしないかと心配です。自分の下に\n残った仲間をとても大切にしていて、\nよほどの事がないと闘わせようとはし\nません。\n
AkaraGossip4	46\nCharsi is young and innocent. However, \nI believe her Barbarian blood thrills to \nthe prospect of adventure and danger. \nShe takes great pride in her work and \nfinds comfort in the fact that her \nweapons and armor are helping to end \nthis evil plague.\n	35\nチャルシは若く無垢な娘です。しかし\nバーバリアンの血のためか、冒険に惹\nかれるようですね。鍛冶の仕事を通し\nて悪に立ち向かう手助けをする事を、\n誇りにしています。\n
AkaraGossip5	48\nThough he has only been our guest for \na short time, I sense that Warriv has \nfaced many harrowing trials. Though \nhe knows, as I do, that a terrible evil \nhas blanketed the land, his only real \nconcern is to reach the eastern trading \nports with his caravan.\n	40\nワリヴとはあまり親しくありませんが、\nかなりの苦労を重ねてきた人のようで\nすね。しかし地を覆う魔軍の恐ろしさ\nを知りながら、自分のキャラバンを東\nに向かわせる事しか考えていないよう\nに見受けられます。\n
AkaraGossip6	53\nTo be honest, I have done my best to \nstay clear of Gheed. He wears \ndishonesty about himself like a cloak \nand seeks only to better his situation \nby preying on the misfortunes of \nothers.\n	40\n正直なところ、あまりギードには関わ\nりたくありません。常に嘘をまとい、\n成功のためには他人の不幸につけ込む\nような人です。\n
AkaraGossip7	55\nThe wilderness is overrun with Evil and \nthe minions of Hell have taken our \nrightful home. We must purge all Evil \nfrom the Monastery and restore order \nto the world.\n	46\n荒野も、そして我らの家たる修道院も、\n魔神の軍勢に占領されております。彼\nらを打ち払い、世界に秩序を取り戻さ\nねばなりません。\n
AkaraGossip8	53\nI often dream of the day we reclaim our \nown. The Sightless Eye sees through \nthe mist of time a great glory ahead, \nbut how far ahead the Eye cannot \ndiscern.\n	39\n教団が再興する夢をよく見ます。「見\nえざる眼」は未来の栄光を予見してい\nますが、その時期まではわかりません。\n\n
AkaraGossip9	67\nOur mental discipline is matched only by \nour skill in archery... I only hope these \nare enough to withstand this awful \ntrial.\n	57\n我々の誇りは心の鍛錬と弓矢の技です...\nそれでこの難局を乗り切れればよいの\nですが。\n
AkaraGossip10	59\nBeware that you do not suffer the fate \nof the corrupted Rogues. To lose one's \nlife is a tragedy, but to lose one's soul \nis even worse.\n	50\n裏切ったローグの二の舞とならぬよう。\n命を失うのも悲劇ですが、魂を失うの\nはそれ以上の悪夢です。\n
AkaraGossip11	41\nEven though the corrupted ones were \nonce of our Order, you need not shy \nfrom slaying them, for they stand \nbetween you and Andariel.\n \nPerhaps, when the Demon Queen is \ndead, our Sisters will return to life, but \nmore likely they will be forever bound \nto their unholy pact.\n	36\nかつてのシスターとはいえ、裏切った\n者達に慈悲は無用です。今はアンダリ\nエルの配下なのですから。\n \n女魔神を倒せばシスターらが正気に戻\nる可能性も、あるかもしれません。し\nかし、呪われた契約は永遠かもしれな\nいのです。\n
KashyaIntroGossip1	56\nWelcome, outlander, to our glorious \nhovel. I know you're here to challenge \nthe evil that's driven us from our \nancestral home.\n \nBut, know this. Akara may be our \nspiritual leader, but I command the \nRogues in battle. It will take more than \njust killing a few beasts in the \nwilderness to earn my trust.\n	46\nあばら屋へようこそ。私たちを修道院\nから追い払った魔物を退治に来たんだ\nね。\n \nでも覚えておいて。ローグ族の信仰を\n導くのはアカラでも、戦闘を指揮する\nのは私だよ。ちょっとザコを倒したぐ\nらいじゃ、信用しないからね。\n
KashyaIntroAmaGossip1	55\nWell, well, I never expected to see an \nAmazon in these lands. You're very \nbrave to have come here. Many of my \nfellow Sisters have fallen under some \ndark spell, and if you're not careful you \nmay fall prey to it as well.\n	46\nへえ。ここでアマゾンに会うとは思わ\nなかったわ。こんな所に来るなんて勇\n敢ねえ。でも、勇敢だった仲間のシス\nターも敵の魔法に倒されたのよ。あん\nたも気をつけてね。\n
KashyaGossip1	60\nWhen I was very young, Akara told me \ntales of the Amazons' fearlessness in \nbattle and of their skills with spears \nand bows. I like to think we Rogues \nhave much in common with you \nAmazons.\n	48\n子供の頃、アカラがよく話してくれた\nわ。アマゾンの戦士は勇気があって、\nスピアと弓矢が得意だって。私たちロ\nーグ族とあんた達は、似てるわね。\n
KashyaGossip2	64\nSome of my Rogues told me of Deckard \nCain. They said that he is a man of \ngreat wisdom. Personally, I don't know \nhow wise he could possibly be if he \nnever learned how to wage battle \nhimself.\n	53\nデッカード・ケインって男の噂は、部\n下から聞いてるわ。すごい知恵がある\nんだってね。でも戦い方も知らないよ\nうな奴が、そう利口とも思えないけど。\n\n
KashyaGossip3	57\nAkara has been like a mother to me for \nas long as I can remember. She is wise \nand good, but I don't think she has the \nsteel to retake our Monastery by force.\n	48\nアカラはずっと私の母親代わりよ。賢\nくていい人なんだけど、修道院を武力\nで取り戻すような強さはないかもね。\n
KashyaGossip4	89\nI don't trust many outlanders, but \nWarriv seems fine. He never says much \nto me, though.\n	89\nよそ者は好きじゃないけど、ワリヴは\nまだ信用できそうだね。\n
KashyaGossip5	66\nBefore our exile, Charsi, our blacksmith, \ncould fashion any implement of war.\n \nHere in the camp, she merely makes do. \nHer best tools remain within the \nMonastery.\n	59\nチャルシは鍛治屋で、武器や防具を扱\nうんだ。かなりの腕だよ。\n \nただし、今はロクな道具がないから間\nに合わせの仕事しかできないけど。\n
KashyaGossip6	58\nGheed is a pig. I've been tempted to \nthrow him out of the camp many times, \nbut Charsi seems to think that he's \ngood company. I don't trust the man, \nbut if she's comforted by him, then I'll \ndesist.\n	40\nギードはブタだね。何度も放り出して\nやろうと思ったけど、チャルシと気が\n合うみたいだからガマンしてるんだ。\n
KashyaGossip7	76\nIf we could only find out how Andariel \nhas managed to corrupt our Sisters, \nthen, perhaps, we could drive out the \nevil clouding their minds.\n	64\nアンダリエルが教団のシスターを寝返\nらせた方法さえわかれば、みんなを正\n気に戻す事もできるかもしれない。\n
KashyaGossip8	68\nIn this camp, those of us who have \nremained true to our Order are forced \nto live among common traders and \nfarm animals.\n \nWelcome to our circle of suffering.\n	64\n今、教義を守る者は、商人や家畜に囲\nまれて仮住まいさ。\n \n難民キャンプへようこそ。\n
KashyaGossip9	67\nPerhaps Tristram deserved its fate... \nfor letting Evil loose upon the land. I \nonly hope we don't suffer the same.\n	67\nトリストラムの街は自業自得かもよ。\n魔神を地上に放したそうじゃないの。\n
KashyaGossip10	71\nSome evenings we gather at the bonfire \nto retell epic tales... and try to forget \nabout the terrible events that led to \nlosing the Monastery.\n	62\n夜には時々、火を囲んで昔話をするん\nだ...修道院を占領された時のことを忘\nれたくてね。\n
CharsiIntroGossip1	47\nHi there. I'm Charsi, the blacksmith here \nin camp. It's good to see some strong \nadventurers around here.\n \nMany of our Sisters fought bravely \nagainst Diablo when he first attacked \nthe town of Tristram. They came back \nto us true veterans, bearing some \nreally powerful items. Seems like their \nvictory was short-lived, though... Most \nof them are now corrupted by Andariel.\n	40\nこんちは、あたしチャルシ。ここの鍛\n治屋よ。冒険者の人に会えて嬉しいわ。\n\n \nトリストラムがディアブロに襲われた\n時は、教団の戦士がたくさん援軍に出\nて、強力なアイテムをいっぱい持って\n帰ったわ。でもすぐに反撃されて、し\nかもその人達の大部分がアンダリエル\nに寝返っちゃったんだけど。\n
CharsiIntroBarGossip1	54\nWow. You're a Barbarian, huh? It's \nreally great to meet you. I've seen a \nfew of your kind around here lately. I'm \na little jealous... I wish I could go off \nadventuring with you.\n \nOh, by the way... I'm Charsi, the \nblacksmith here in camp.\n	50\nわあ、あんたバーバリアン？　ステキ\nだわ。冒険の旅ができるなんて、うら\nやましい。私も行けたらなあ。\n \nそうそう、あたしはチャルシ。ここの\n鍛治屋よ。\n
CharsiGossip1	57\nYou know, I've been with the Sisters for \nas long as I can remember. But Akara \ntold me that my real parents were \nBarbarians from the northern tribes \nand that they were killed when I was \nvery young.\n \nSometimes I wonder what my life would \nhave been like if I had been raised as a \nBarbarian.\n \nI don't know. I love being a blacksmith... \nbut sometimes I just want to get out \nand explore the world, you know?\n	47\n小さいときからずっと教団にいるんだ\nけど、あたしの本当の親は北の方のバ\nーバリアンで、あたしが赤んぼの時に\n殺されたんだって。アカラから聞いた\nわ。\n \n時々、バーバリアンとして育ってたら\nどんなだったかなって思うわ。\n \nもちろん鍛治屋の仕事は好きだけど、\n冒険とか探検にも行ってみたくてさあ。\n\n
CharsiGossip2	86\nI don't really know anything about Cain. \nHe seems to have a lot of secrets... \nThat makes me nervous.\n	78\nケインのことはよく知らない。なんか\n秘密が多いみたいで。\n
CharsiGossip3	51\nOh, Kashya's fantastic. Sure, she's a \nlittle hard on outsiders, but who can \nblame her? All she wants is to protect \nour Order. But now that our Sisters \nhave turned against us... I think this \nwhole mess has hardened her heart.\n	44\nカシャはステキな人よ。よそ者には厳\nしいけど、それも教団を守るためなの。\nでも、仲間のシスターに裏切られたか\nら、それで余計に厳しくなるんだと思\nう。\n
CharsiGossip4	64\nAkara, our priestess and seer, is most \nupset by the corruption of our Sisters. \nI fear that she blames herself.\n	60\nシスター達の裏切りに一番怒ったのは、\nアカラね。神官長として責任を感じた\nみたいだし。\n
CharsiGossip5	80\nWarriv's all right, I guess. He seems too \nserious most of the time. I haven't \nreally talked to him all that much.\n	80\nワリヴはいい人みたいよ。ちょっとマ\nジメすぎるけど。\n
CharsiGossip6	60\nOh, I like Gheed. He's very funny. He \nhas all sorts of interesting stories from \nthe places he's been. I wish I could see \nthe sights he has.\n	54\nギードと話すと面白いよ。いろんな場\n所の話を聞かせてくれるの。自分でも\n見てみたいな。\n
CharsiGossip7	84\nI don't know why some of my Sisters \nchose to follow Andariel. Those who \nstrayed were among our finest \nwarriors.\n	84\nシスター達がどうしてアンダリエルに\n寝返ったのか、わかんない。みんな立\n派な戦士だったのに。\n
GheedIntroGossip1	48\nGood day to you partner! I'm Gheed and \nI can already tell that I'll be your best \nfriend in this forsaken camp.\n \nA spare weapon, some gold, a small \ngem is all I want in exchange for the \nequipment you'll need on whatever \nquests you might undertake.\n \nNow, now, now... Don't be shy, all of my \nitems are guaranteed for life and come \nwith a two-day warranty!\n	48\nやあ相棒、いらっしゃい！　俺ぁギー\nドだ。あんたとは気が合いそうだね！\n\n \n要るモノがあったら、何でも用意する\nぜ。替えの武器とか、金のカケラとか、\nちっこい宝石とか、そんなのと交換\nだ。\n \nさあさあ、何かないかい？　ウチの商\n品は一生もんだし、２日間の保証つき\nだよ！\n
GheedIntroNecGossip1	46\nA Necromancer! I hoped I'd never have \nto lay my eyes on one of your kind \nagain. ... The recent troubles in this \narea have brought out all kinds, I see. \nNevertheless, your money's good...\n \nA spare weapon, some gold, a small \ngem is all I want in exchange for the \nequipment you'll need on whatever \nquests you might undertake!\n \nNow, now, now... Don't be shy, all of my \nitems are guaranteed for life and come \nwith a two-day warranty!\n	44\nネクロマンサー！　二度と会いたくな\nかった手合いだね。騒動のせいで、い\nろんな奴が来やがる。でもあんた、カ\nネはありそうだな...。\n \n要るモノがあったら、何でも用意する\nぜ。替えの武器とか、金のカケラとか、\nちっこい宝石とか、そんなのと交換だ\nだ。\n \nさあさあ、何かないかい？　ウチの商\n品は一生もんだし、２日間の保証つき\nだよ！\n
GheedGossip1	74\nDon't think you can fool me, \nNecromancer. I've seen what your kind \ncan do. If you're involved in any of the \nevil out there, I don't even want to \nknow. Trade quickly and be about your \nbusiness!\n	62\nとぼけるんじゃないぜ、あんたらネク\nロマンサーの術はこの目で見たんだ。\n外の魔物とグルだとしても、知りたか\nないね。とっとと取り引きして消えて\nくれ！\n
GheedGossip2	57\nThat old coot, Cain, is as crazy as a wet \nQuill Rat. I hear he survived whatever \nhappened in Tristram. Personally, I \nwouldn't trust a thing he has to say.\n	51\nケインってジイさんは頭がおかしいよ。\nトリストラムの生き残りだそうだけど、\n話はまるで信用できないね。\n
GheedGossip3	55\nAkara and Kashya are Sisters in the \nOrder of the Sightless Eye, but they are \nworlds apart. Akara is a slow river of \nmagic, and Kashya, a viper of war. \nThey're both deeply devoted to their \nreligious order, yet the corruption of \ntheir Sisters pains them both to no \nend.\n	41\nアカラとカシャは「見えざる眼」教団\nの有力者だけど、両極端だね。アカラ\nは魔力の河で、カシャは燃える火だ。\nどっちも教団への忠誠は絶対で、シス\nター達の裏切りを悲しんでるけどね。\n
GheedGossip4	52\nCharsi is a fine girl..., but she has no \nbusiness savvy! I know she means well, \nbut the prices she charges for weapons \nand armor will never earn her a profit.\n \nAs long as I keep filling her mind with \nstories of adventure, she'll never catch \non to the fact that I'm raking in gold \nhand over fist!\n	40\nチャルシはいい子なんだが...商才がな\nいぜ！　武器や防具をあんな値で売っ\nちゃ、儲けが出ないだろうに。\n \n俺の冒険の話にばっかり夢中で、その\n冒険で稼いだカネにゃ興味ないしさ。\n
GheedGossip5	55\nWarriv was kind enough to let me travel \nwith his caravan, but don't let him drag \nyou into a search for a new Eastern \ntrade route.\n \nI'm making a fortune right here... from \nthe Rogues, of course! You, on the \nother hand, always get my best prices!\n	48\nワリヴはまあ、キャラバンに同行させ\nてくれるぐらいは親切なんだが、抜け\n目ない男だ。\n \n俺ぁここで、ローグ族をカモにしよう\nと狙ってんのさ。でも、あんたにゃ負\nけとくよ！\n
GheedGossip6	61\nAndariel's demonic forces have taken up \nresidence in the forests as well as the \nMonastery. Uh-uh. I won't be venturing \nout of the camp. So, if you need \nanything, I'll be right here.\n	52\nアンダリエルの軍勢は、修道院だけじ\nゃなく森の家も占領したぜ。俺ぁ外に\nゃ出たかないね。用があったらここに\n来てくれ。\n
GheedGossip7	58\nWhen - or if - I get to Lut Gholein, I'm \ngoing to find the largest bowl of \nNarlant weed and smoke 'til all earthly \nsense has left my body.\n	62\nもしラット・ゴーレインに着けたら、\nナーラント草の煙をたんまり吸って、\nみっちりトリップしたいなあ。\n
CainGossip1	43\nLong ago, the Soulstones were given to \nthe Horadrim by the Archangel Tyrael. \nThey were used to bind the three Prime \nEvils. I now know that even these holy \nartifacts were no match for Diablo's \npower.\n \nI hope that his two brothers are more \nsecurely held... but I fear the worst.\n	39\n遠い昔、大天使ティラエルがホラドリ\nムにソウルストーンを授けた。３人の\n魔王を封印するためにな。だがその聖\nなる遺物も、ディアブロの力には屈し\nたというわけだ。\n \n残る２人の魔王は、もっとしっかり封\n印されておればよいが...。\n
CainGossip2	54\nIt takes time to master your skills... and \nuse will hone your technique. But take \ncare to choose your new skills wisely.\n	54\nスキルの修得には時間がかかる。実戦\nが最高の鍛錬だ。スキルを選ぶ際には\nよく考えるのだぞ。\n
CainGossip3	52\nYou may recover some mysterious \nthings from the demons you kill. Some \nof great use to you... some of great \nperil! Bring them to me and I'll reveal \ntheir secrets.\n	52\n倒した魔物が、見なれぬ品を持ってい\nる事もあろう。役に立つ品も多いが、\n危険もあるぞ！　鑑定してやるから、\nまずわしに見せよ。\n
CainGossip4	46\nHave I told you about the Horadrim? \nThey were an ancient confederation of \nmage-clans who sought to bind the \nthree Prime Evils for eternity. The \nHoradrim are now nearly forgotten... \nand it appears that the bonds they \nwove are unravelling!\n \nAs the last of the Horadrim, I pray that \nI can help you remedy their failure.\n	36\nホラドリムの話はしたかな？　これは\n太古、いくつもの魔道師族が魔王たち\nを封印するために結成した盟約組織な\nのだ。だが今では、その存在は半ば忘\nれ去られ、封印さえも解けつつある！\n\n \nホラドリムの生き残りとして頼む。君\nの力を貸してくれ。\n
CainGossip5	43\nLong ago, Diablo and his brothers were \ncast out of Hell by the Lesser Evils. It \nseems that Hell's balance has shifted, \nas Andariel is now aligned with the \nLord of Terror. Her presence here in \nthe mortal realm does not bode well for \nus.\n	32\n遙かな昔、多くの魔神が結託して三魔\n王を地獄より追放したのだが...アンダ\nリエルがディアブロと通じておるとは、\n時勢が変わったのだな。これは不吉な\n兆候だ。\n
RogueSignpostGossip1	90\nTurn back! I can tell that you need more \nexperience to fight safely in the next \nwilderness.\n	90\n 戻れ！　この先に踏み入るには、もっ\nと経験が必要だ！\n
RogueSignpostGossip2	46\nHalt! You should complete Akara's quest \nbefore venturing further. Search for \nthe Den in the wilderness closer to \ncamp.\n	67\n止まれ！　まず、アカラに頼まれたク\nエストを終えるんだ。目指すべき洞窟\nは、もっとキャンプの近くだ。\n
RogueSignpostGossip3	116\nBeware! The evil is strong ahead.\n	116\n覚悟しな、この先の魔物は強いよ。\n
RogueSignpostGossip4	92\nBeware! Beyond lies mortal danger for \nthe likes of you!\n	92\n覚悟しな、命を落とすかもよ！\n
RogueSignpostGossip5	88\nTake care! The Corrupted Rogues in the \nwilderness ahead are not to be trifled \nwith.\n	88\n気をつけな！　裏切ったローグ兵は、\nみんな手強いよ！\n
A1Q1InitAkara	43\nThere is a place of great evil in the \nwilderness. Kashya's Rogue scouts \nhave informed me that a cave nearby is \nfilled with shadowy creatures and \nhorrors from beyond the grave.\n \nI fear that these creatures are massing \nfor an attack against our encampment. \nIf you are sincere about helping us, \nfind the dark labyrinth and destroy the \nfoul beasts.\n \nMay the Great Eye watch over you.\n	37\nカシャの部下達が、恐ろしい報告をも\nたらしました。この近くの洞窟に、呪\nわしい魔物がはびこっているというの\nです。\n \n敵が、このキャンプを襲うために集結\nしているのかもしれません。どうか敵\nの巣窟を見つけ出し、叩いて頂きたい\nと思います。\n \n大いなる眼が見守りますように。\n
A1Q1AfterInitAkara	46\nI should add that many Rogue scouts \nhave died in that horrible place. We \ncannot afford to lose any more. If you \nchoose to enter that Den of Evil, you \nmust do so alone.\n	37\nかの地で、多くの偵察兵が命を落とし\nました。この上損失は出せません。邪\n悪の巣窟へは、あなただけでお願いし\nます。\n
