String Index	Text
CainAct5Gossip7	46\nハロガスの長老会は壊滅したが、若い\n者の中にも優秀な人材はおる。たとえ\nばアーニャは、部族を率いるのに充分\nな胆力と叡知を備えておるようだ。もっ\nともすべては、彼らがこの苦境を乗り\n切れればの話になるだろうがな。\n
CainAct5Gossip8	50\nアーニャはまったく、女ゆえの強さの\nよい見本と言うべきだろうな。あの娘\nを見ておると、若い頃に知り合ったザ\nカラムの女司祭たちを思い出すよ。し\nかも彼女らには、純潔の誓いを立てる\n習慣はなかったしな。\n
CainAct5Gossip9	53\nこの街に、ラーザックほどの鍛治屋が\nいたのは幸いだった。彼の腕前は、君\nにとっても大きな助けになるだろう。\n彼ならば、最盛期のホラドリムにでも\n大歓迎されただろうね。\n
CainAct5Gossip10	52\nこの戦いの元になったのはソウルストー\nンだろうと、私はにらんでおる。もし、\nマリウスとかいう愚か者が魔神に惑わ\nされなければ、バールは今でもタル・\nラシャの体に封印されておったはずな\nのだ。\n
AnyaAct5IntroGossip1	53\nどうやらあなたは、勇者と呼ばれるに\nふさわしい力を持っているようね。\n\n見ての通り、今は苦難の時よ。あなた\nの力を借りて、バールを打ち倒せるこ\nとを祈っているわ。\n\nハロガスの長老会は壊滅したわ。私の\n父オーストも、その一員だった。皆が\n絶望に沈まないでいられるのは、バー\nルへの復讐を誓っているおかげよ。\n
AnyaGossip1	50\n長老たちはみんな死んでしまった。彼\nらの叡知なくして、本当にこの暗黒の\n時代を乗り切れるのか、正直言ってわ\nからないわ。父の後を継ぐのは私だけ\nど、私一人で部族全体の運命を担うな\nんて、重すぎる。\n\nでも、私たちは強い民よ。ただ全力を\n尽くして、あとは運命に任せるだけだ\nわ。\n
AnyaGossip2	76\nバールの軍団を甘く見ないことね。連\n中は、敵を倒すためなら喜んで自分の\n命を捨てるんだから。\n
AnyaGossip3	55\nよそ者たちは、私たちの祖先「古き民」\nにまつわる伝説を、ただの作り話と思っ\nているようね。でも私は、古き民は人\n間以上の存在だと信じているわ。人類\nは本来彼らのようだったのに、衰えて\n今のようになったんじゃないかしら。\n
AnyaGossip4	60\n子供の頃から、よく長老たちに聞かさ\nれたわ。あの山に秘められた力の話を。\nそれから、私たちバーバリアンが山の\n守護者として、いかに重要な役目を負っ\nているかを。\n\nバールは単に、私たちの領土を奪って\nいるだけじゃない。魔獣の軍が山に近\nづくごとに、私たちの誇りも、存在意\n義も奪われていくのよ。\n
AnyaGossip5	65\nあなたが助けに駆けつけてくれたこと\nには、本当に感謝しているわ。でも、\n早いうちに近隣諸国に援軍を求めてい\nれば、戦況はもっと明るかったでしょ\nうね。伝説の守護者としての愚かな誇\nりが、判断を誤らせたのよ...。\n
AnyaGossip6	45\n私の父のオーストは、バールの軍に立\nち向かうなら外部に援軍を求めるべき\nだと、最初から主張していたわ。この\n戦いが単なる部族の問題ではなく、世\n界全体の運命にかかわるものだと知っ\nていたのね。人が生きるには水や食べ\n物が必要なように、世界が生きるには\nアリート山の力が必要なんだと、父は\n言っていたわ。私もその通りだと思う。\n
AnyaGossip7	50\n以前のクォル＝ケックは傲慢なほどの\n自信家だったけど、バールと戦って誇\nりを傷つけられたようね。最初の防戦\nで、部下の三分の一を失ってしまった\nから。\n\n兵たちの死に、彼ほど心を痛めている\n人はいないでしょう。本人は認めたが\nらないだろうけど、あなたの存在は彼\nにとっても希望の象徴になっているは\nずよ。\n
AnyaGossip8	67\nラーザックに、鍛冶の腕の半分でも歌\nや踊りの才能があれば、とっくに結婚\nできていたでしょうね。あの盛り上がっ\nた肩を見ればわかるでしょ。\n
AnyaGossip9	53\nニーラサックは長老会の最後の生き残\nりだったわ。彼は彼なりに力を尽くし\nて部族を導き、山を守ろうとしたよう\nだけど、他の皆にも増して状況が見え\nなくなっていたのね。\n\n裏切りは許せないけど、彼の失敗から\n学ぶことはできそうだわ。\n
AnyaGossip10	55\n部族の者は、アリート山を守っている\n「古き民」には、バールを止める力が\nあると信じていたわ。でも、実際に破\n壊の王の猛威を見ていると、なにも信\nじられなくなってしまったけどね。\n
LarzukAct5IntroGossip1	55\n俺はラーザック、鍛治屋をやってる。\n先祖代々、このハロガスじゃ最高の職\n人なんだぜ。\n\nでも最近じゃ材料がどんどん乏しくなっ\nてきてるし、城壁の向こうの魔物ども\nはいっこうに弱る気配がないから、い\nくら頑張っても追っつきゃしねえがな。\n\nそのうち俺も、鍛冶のハンマーを置い\nて剣を持つ日が来るのかもしれねえな。\n
LarzukAct5IntroAmaGossip1	46\nへえ、あんたアマゾンかい。あんたら\nの噂は聞いてるぜ。すごい武器を使う\nそうじゃねえか。俺の作ったのと比べ\nてみるかい？\n\n俺はラーザック、鍛治屋をやってるん\nだ。先祖代々、このハロガスじゃ最高\nの職人なんだぜ。\n\nでも最近じゃ材料がどんどん乏しくなっ\nてきてるし、城壁の向こうの魔物ども\nはいっこうに弱る気配がないから、い\nくら頑張っても追っつきゃしねえがな。\n\nそのうち俺も、鍛冶のハンマーを置い\nて剣を持つ日が来るのかもしれねえな。\n
LarzukGossip1	66\nあんたらアマゾンは、飛び道具の扱い\nがうまいらしいな。たしかに見た限り\nじゃ、地獄のケダモノどもを狩るにゃ、\nそいつが一番良さそうだ。\n\nところであんたらの部族は、みんなそ\nんなに... デカいのかい？\n
LarzukGossip2	63\nいったいぜんたい、どうして住みやす\nい南の島を離れて、こんな寒い戦場に\n来たんだ？　もしこの戦いに生き残れ\nたら、あんたの故郷を案内してくれね\nえか？\n
LarzukGossip3	65\nゆうべは、あの気色悪い遠吠えのせい\nでよく眠れなかったんじゃないのかい？\n何かの獣だって言う奴もいるけどよ、\nあんな声の動物なんて見たことも聞い\nたこともねえぜ。\n
LarzukGossip4	63\n魔物どもの軍団は、俺たちの造った塔\nやバリケードをぶんどって、包囲戦に\n利用してやがる。できれば、奴らが装\n備をととのえる前に包囲網を破ったほ\nうが、賢明ってもんなんだろうがね。\n
LarzukGossip5	65\nニーラサックのヤケクソなホラは、聞\nいてるだけで参っちまうぜ。やせても\n枯れても長老だろうによ。いっそ消え\nてくれた方がせいせいするぐらいだ。\n
LarzukGossip6	63\nこないだ、クォル＝ケックに包囲網を\n破る作戦の案を話したんだが、マトモ\nに聞こうともしやがらねえ。俺が戦士\nじゃないからナメてるのか、それとも\nハナっから俺をバカだと思ってるのか。\nどっちにしてもいけすかねえぜ。\n
LarzukGossip7	53\n言い伝えじゃ、アリート山のてっぺん\nには俺たちの先祖の霊がいて、山を守っ\nてるそうだぜ。俺たちは頂上には登れ\nない掟なんだが、よそ者は何度か登っ\nていったな。ただし、帰ってきた奴は\nいねえけどな。\n
LarzukGossip8	63\nこの街も、戦勝会ともなればにぎやか\nなもんだ。俺たちバーバリアンは子供\nの頃から戦士の修行をするんだが、同\nじぐらい熱心に祭りの稽古もやってる\nからな。\n\nあんた、余分な酒を持ってるなら高く\n買うぜ。\n
LarzukGossip9	52\n俺がこうやって安全な鍛冶場で働いて\nる間にも、城壁の外じゃ毎日友達が死\nんでってるんだ。ここまで武器が不足\nしてるんでなけりゃ、俺だって剣を取っ\nて戦場に出てやりたいんだがな。\n\n俺の分まで、頑張ってくれよ。\n
LarzukGossip10	55\n一応言っとくけど、あんたから取る金\nは一文も稼ぎにゃなってねえんだぜ。\nだいたいは、武器や防具の材料を仕入\nれるので消えちまう。残りは全部、マ\nラーとクォル＝ケックに渡してるんだ。\n必要な物をそろえてもらうためによ。\n
MalahAct5IntroGossip1	39\nわたくしはマラー。アリート山に建つ\n秩序の最後の砦、ハロガスへようこそ。\n破壊の王バールと戦うおつもりでした\nら、ちょうどいいところに来てくださ\nいましたね。\n\n見ての通り、バールはわたくしたちの\n聖なる山を汚し、人々の命を奪いまし\nた。攻撃は今も続いており、クォル＝\nケックの率いる部隊では歯が立ちませ\nん。バールは山で何かを探しているよ\nうなのですけれど、それが何なのかは、\nわたくしにはわかりません。\n\nニーラサックを除く長老会の面々は、\nハロガスを守る結界を張るために、残\nらず命を落としました。\n\nニーラサックをはじめ、あなたの存在\nを快く思わない者もいるようです。我\nらは伝説の戦士であることに誇りを持っ\nておりますから、助けの手を差しのべ\nられることに抵抗があるのですね。し\nかしわたくし個人は、心から感謝して\nいますよ。\n\nヒーリングやポーションが必要なとき\nには、わたくしのところにおいでなさ\nい。武器や防具のことなら、ラーザッ\nクに頼めば大丈夫です。他に足りない\n物があれば、一応はニーラサックにも\n相談した方がいいでしょう。それから\nクォル＝ケックは、ハロガスの軍令長\nとしてバールと戦っている人ですから、\nあなたの力になってくれるかもしれま\nせん。\n
MalahAct5IntroSorGossip1	38\nソーサレスが... このハロガスに？\n\n実はわたくしも昔は、ソーサレスにな\nろうと思ったことがあるのですよ。素\n質がなくて、ものになりませんでした\nけどね。ヒーリングの技だけは磨いて、\nほとんどどんな傷も治せるようになり\nましたけど、バールと戦うにはあまり\nに無力な自分が歯がゆくて... 。\n\nあらイヤだわ、勝手に自分の話ばかり\nして。ご挨拶もまだでしたわね。\n\nわたくしはマラー。アリート山に建つ\n秩序の最後の砦、ハロガスへようこそ。\n破壊の王バールと戦うおつもりでした\nら、ちょうどいいところに来てくださ\nいました。\n\n見ての通り、バールはわたくしたちの\n聖なる山を汚し、人々の命を奪いまし\nた。攻撃は今も続いており、クォル＝\nケックの率いる部隊では歯が立ちませ\nん。バールは山で何かを探しているよ\nうなのですけれど、それが何なのかは、\nわたくしにはわかりません。\n\nニーラサックを除く長老会の面々は、\nハロガスを守る結界を張るために残ら\nず命を落としました。\n\nニーラサックをはじめ、あなたの存在\nを快く思わない者もいるようです。我\nらは伝説の戦士であることに誇りを持っ\nておりますから、助けの手を差しのべ\nられることに抵抗があるのですね。し\nかしわたくし個人は、心から感謝して\nいますよ。\n\nヒーリングやポーションが必要なとき\nには、わたくしのところにおいでなさ\nい。武器や防具のことなら、ラーザッ\nクに頼めば大丈夫です。他に足りない\n物があれば、一応はニーラサックにも\n相談した方がいいでしょう。それから\nクォル＝ケックは、ハロガスの軍令長\nとしてバールと戦っている人ですから、\nあなたの力になってくれるかもしれま\nせん。\n
MalahAct5IntroBarGossip1	39\nあなたも、結局はこのバーバリアンの\n故郷へ帰ってきたのですね。あなたが\n冒険の旅をしている間に、ハロガスは\nすっかり変わってしまったでしょう。\n魔獣に埋め尽くされて、それこそ同じ\n土地とは思えないぐらい。\n\nそれでも、わたくしは何とか生きてい\nますわ。あなたもきっと辛いでしょう\nけれど、そうやって生きて帰ってくれ\nただけで、わたくしは大いに元気づけ\nられました。あなたの力を借りて、わ\nたくしたちがこの地獄から抜け出せる\nことを祈っております。\n\n見ての通り、バールはわたくしたちの\n聖なる山を汚し、人々の命を奪いまし\nた。攻撃は今も続いており、クォル＝\nケックの率いる部隊では歯が立ちませ\nん。バールは山で何かを探しているよ\nうなのですけれど、それが何なのかは、\nわたくしにはわかりません。\n\nニーラサックは長老会の唯一の生き残\nりですけれど、最近は様子がおかしい\nようです。他の長老たちが、ハロガス\nの街を守る結界を張るために命を落と\nしたのに、自分だけ生き延びたことに\n罪悪感を感じているようですね。もし\nニーラサックがあなたに辛く当たるよ\nうでも、それは若い人をこれ以上死な\nせたくないからだと思ってあげてくだ\nさいね。\n\nとにかく、この地はすっかり変わって\nしまいました。もう希望も持てないか\nと思うぐらいに。\n\nヒーリングやポーションが必要なとき\nには、わたくしのところにおいでなさ\nい。武器や防具のことなら、ラーザッ\nクに頼めば大丈夫です。他に足りない\n物があれば、一応はニーラサックにも\n相談した方がいいでしょう。それから\nクォル＝ケックは、ハロガスの軍令長\nとしてバールと戦っている人ですから、\nあなたの力になってくれるかもしれま\nせん。\n
MalahGossip1	50\nソーサレスの皆さんの素晴らしい魔力\nのことは、わたくしも知っているつも\nりですわよ。もしこの戦いに生き残る\nことができたら、実際の術を見せてく\nださらない？　よろしければ、いくつ\nか教わりたいわ。\n\n歳は取っていても、まだ死んだわけで\nはないんですからね。\n
MalahGossip2	45\nあなたと、私の息子バヌックとの仲が\nあまりよくなかったことは、覚えてお\nりますわよ。あの時のあの子には、故\n郷を離れて旅に出たいと思うあなたの\n気持ちが、理解できなかったのですね。\nでも、あの子も大きくなるうちに、あ\nなたと同じ事を考えたみたいですわよ。\n本人は認めようとしませんでしたけど\nね。\n\nあの時に、旅に出しておけばよかった\nと思いますわ。そうすれば、あの子は\n死なずにすんだかもしれないと。\n
MalahGossip3	55\nみんな、いざという時は氷の洞穴に避\n難しようと思っていたのですけど、そ\nれももう不可能になりましたわ。魔物\nどもに先回りされましてね。今あそこ\nに行ったら、寒さの前に恐怖で心が凍っ\nてしまいますわよ。\n
MalahGossip4	88\n戦場では、死体にさえも隙を見せない\nように注意しなくてはなりませんわよ。\n
MalahGossip5	53\n敵はどうやら、わたくしたちの心まで\n惑わしにかかっているようですのよ。\n山麓の戦場に出て、幸運にも生きて帰\nれた人たちは、天使が飛ぶのを見たと\n言っておりますの。飛ぶ者がいたから\nといって、それが天界から来たとは限\nりませんのにね。\n
MalahGossip6	45\nお聞き及びかも知れませんけれど、わ\nたくしの息子もバールの軍に立ち向かっ\nて、戦死いたしましたの。これで子供\nらには全員先立たれましたわ。\n\nヒーラーとして博愛の誓いは立てまし\nたけれど、それも相手が人間の場合だ\nけですわ。勇者さん、あいつらを皆殺\nしにしてくださいね！\n
MalahGossip7	55\n敵軍の使う投石機は、鋼鉄の機械に魔\n獣の血肉を組み込んだ地獄の兵器です\nわよ。お気をつけて。\n
MalahGossip8	45\nクォル＝ケックは最近の苦戦でうち沈\nんでいますけど、勇敢で公正な司令官\nです。あなたに冷たいように感じるの\nは、人を言葉ではなく行動で判断する\nためでしょう。信頼を得たければ、実\n績を示しておあげなさいな。\n
MalahGossip9	53\nラーザックはいい若者ですけれど、可\n哀想に最近の心労で参ってしまったよ\nうですわ。\n\nこの間なんか、わたくしの持っている\n上等の羊皮を20枚も欲しいと言ってき\nましてね。それで袋を作って、中に煙\nをためれば、雲みたいに空に浮かんで\nバールの軍勢を空から偵察できるんだ、\nとか言って！\n\n本当に可哀想に、おかしくなってしまっ\nたのだわ。\n
MalahGossip10	65\nお気をつけてね、勇者さん。わたくし、\n生きている方の傷なら治せますけれど、\n亡くなった方を蘇らせる力はありませ\nんから。\n
MalahGossip11	50\nいつの日か、自分たちの血で染まって\nいない真っ白な新雪をもう一度見たい\nと願って、祈っておりますのよ。その\n願いはもうすぐかなうのか、それとも、\n二度と...\n\n失礼、おしゃべりが過ぎましたわね。\n何のご用ですの？\n
MalahGossip12	53\n本当なら何でも無料で差し上げたいの\nですけれど、代金を払っていただいて\n助かりますわ。ごらんの通り物資が足\nりませんから、商人の方からは何でも\n言い値で買い取っておりますものでね。\n
MalahGossip13	38\nクォル＝ケックたち戦士を除けば、街\nで本当に戦況の厳しさを知っているの\nは、このわたくしだけでしょう。剛勇\nで知られた戦士たちが、傷ついた体を\n引きずって、泣きながらわたくしに助\nけを求めますのよ。治せる傷は全力で\n治しますけれど、中にはお気の毒に、\n手の施しようのない事もありますの。\n
NihlathakAct5IntroGossip1	47\nおやおや、戦争で何もかも不足してい\nると思っていたが、馬鹿者だけは減ら\nないようだな！\n\nこんな所まで、何をしに来たんだ？　\nハゲワシのように、戦死者の死体から\n鎧兜でもはぎ取って売るつもりかね？\n\n残念だが、君たちよそ者の出る幕では\nないよ。この山を守るのは私たちだ。\n地獄の魔物どもが全滅するのも、まあ\n時間の問題だね。\n
NihlathakAct5IntroAssGossip1	53\nおやおや、アサシンか！\n\nさぞかし街の者は大歓迎しただろう、\n殺しの達人が来てくれたと言ってね。\nだがまあ、私に言わせれば余計なお世\n話というものだ。\n\nいいかね、君などの手を借りることは\n何もないんだ。さっさと他の国へ行っ\nて、別の獲物を探すのだね。\n
NihlathakAct5IntroNecGossip1	44\nははあ、ネクロマンサーか。\n\n魔術の暗黒面を追及する蛮勇だけは見\n上げたものだが、正直、君などの出る\n幕ではないね。そんな術の力など借り\nなくても、戦況がすぐに逆転すること\nは明らかだよ。\n\nいやしかし、考えてみれば当然だな。\n君の目当ては、戦場の死体なんだろう？\nかがり火に集まる蛾のようなものだな。\n他人の死が、君にとっては生きる糧と\nいうわけだ。\n
NihlathakGossip1	40\nもし、堕落した魔道師を探していると\nいうのなら、ラーザックをよく調べて\nみてはどうかね。去年の春、街に猩紅\n熱が流行したとき、彼だけは感染しな\nかったんだ。本人は、運が良かったと\nか、食事の前によく手を洗ったとか言っ\nていたが、かなり怪しいね。\n
NihlathakGossip2	44\nこんな所まで、何をしに来たんだ？\nハゲワシのように、戦死者の死体から\n鎧兜でもはぎ取って売るつもりか？\n\n残念だが、君たちよそ者の出る幕では\nないよ。この山を守るのは私たちだ。\n地獄の魔物どもが全滅するのも、まあ\n時間の問題だ。\n
NihlathakGossip3	65\nクォル＝ケックは無能だよ。バールの\n軍勢を見くびって、兵を無駄死にさせ\nてばかりいる。魔物相手に一筋縄では\nいかない事など、誰にでもわかりそう\nなものだ。\n
NihlathakGossip4	55\n魔獣の軍団は、残念だが勢いを増す一\n方だ。それも、他ならぬ私たち自身の\n愚かな誤りを利用してね。だが私なら、\nその誤りを正すことができるのではな\nいかと思っている。\n
NihlathakGossip5	40\nもちろん、ここの戦士たちのことは、\n幼い頃からよく知っているとも。怪我\nや病気をする度に、マラーが治してやっ\nていたものだ。しかし今では誰もが、\n決して癒えない傷を負っている。\n\nもう疲れた... これ以上話しかけないで\nくれないか。\n
NihlathakGossip6	108\n何か役に立つ物はあるのかね？　\nないなら、あっちに行くんだな！\n
NihlathakGossip7	70\nアーニャの父親は、私の親友だった。\n他にも多くの友を弔わねばならない。\n君なんかの相手をしている暇はないん\nだよ。\n
NihlathakGossip8	48\n以前から私のことをなじる者は多かっ\nたが、最近他の長老たちが死んでから\nはなおさらだ。しかし結局、人間は自\n分の信念に従って行動するしかないの\nだよ。他人がなんと言おうともね。\n
NihlathakGossip9	58\n私たち長老会は、太古から魔王の来襲\nに備えてきたつもりだった。しかし結\n果を見ると、考えが甘かったと言うし\nかないようだな。\n
QualKehkAct5IntroGossip1	41\n俺はクォル＝ケック、このハロガスの\n軍令長だ。\n\n見たところ、お前さんも戦士のようだ\nな。加勢なら歓迎するぞ。ただし、死\nんだところで葬式も出ないから覚悟し\nとけ。\n\nバールはさすがに、破壊の王と言われ\nるだけのことはある。奴の軍勢は、疫\n病みたいにたちまち国中に広がっちまっ\nた。ここの城壁だけは、長老会の連中\nが命を捨てて結界を張ってくれたおか\nげで何とかもってるが、それにしたっ\nて楽じゃない。もう兵隊はほとんど死\nんじまったし、捕虜になった奴は山の\n方の牢屋に入れられてるらしい。\n\nだがな、まだ終わりじゃないぞ。俺た\nちは最後の最後までこの山を守って戦っ\nてやるからな！\n
QualKehkAct5IntroPalGossip1	40\nパラディンか！　お前さんらの騎士団\nの噂は聞いてるよ。\n\n俺も若い頃には、クラストに巡礼しよ\nうかとか思ってたんだ。しかしまあ、\nそんなのは若者の気の迷いだった。俺\nの仕事はこのハロガスにとどまって、\nアリート山を守ることだ。それ以外に\nは、ないのさ。\n\n俺はクォル＝ケック、このハロガスの\n軍令長だ。\n\nお前さんも戦士なんだろう。加勢なら\n歓迎するぞ。ただし、死んだところで\n葬式も出ないから覚悟しとけ。\n\nバールはさすがに、破壊の王と言われ\nるだけのことはある。奴の軍勢は、疫\n病みたいにたちまち国中に広がっちまっ\nた。ここの城壁だけは、長老会の連中\nが命を捨てて結界を張ってくれたおか\nげで何とかもってるが、それにしたっ\nて楽じゃない。もう兵隊はほとんど死\nんじまったし、捕虜になった奴は山の\n方の牢屋に入れられてるらしい。\n\nだがな、まだ終わりじゃないぞ。俺た\nちは最後の最後までこの山を守って戦っ\nてやるからな！\n
QualKehkAct5IntroDruGossip1	40\nドルイドが、このハロガスに？　こい\nつは驚いた！\n\nあの魔道師戦争の後じゃ、ハロガスに\n来るドルイドなんぞ金輪際いないだろ\nうと思ってたがね。お前さんもずいぶ\nん、物好きなんだな。\n\n正直言って、お前さんらの変身能力は、\n見ててあんまり気持ちのいいもんじゃ\nない。しかしまあ、秩序と平和を求め\nてるのはわかってるし、一目置いてる\nつもりだよ。俺たちを信用してこの街\nに来たんなら、こっちも信用して街に\n置いてやる。\n\n俺はクォル＝ケック、このハロガスの\n軍令長だ。\n\nお前さんも戦士なんだろう。加勢なら\n歓迎するぞ。ただし、死んだところで\n葬式も出ないから覚悟しとけ。\n\nバールはさすがに、破壊の王と言われ\nるだけのことはある。奴の軍勢は、疫\n病みたいにたちまち国中に広がっちまっ\nた。ここの城壁だけは、長老会の連中\nが命を捨てて結界を張ってくれたおか\nげで何とかもってるが、それにしたっ\nて楽じゃない。もう兵隊はほとんど死\nんじまったし、捕虜になった奴は山の\n方の牢屋に入れられてるらしい。\n\nだがな、まだ終わりじゃないぞ。俺た\nちは最後の最後までこの山を守って戦っ\nてやるからな！\n
QualKehkGossip1	53\n光輝の騎士がうちの味方になってくれ\nるとは、名誉なことだ。信心がお前さ\nんの強さの元なんだろ。ただし戦場で、\n正しい奴が勝つとは限らないぞ。\n
QualKehkGossip2	53\nハロガスに来てくれて助かったよ、ド\nルイドさん。だけど、地獄の軍勢にこ\nこまで汚された土地で、お前さんの自\n然魔法はちゃんと使えるのか？\n
QualKehkGossip3	38\nマラーの息子を亡くしたのは気の毒だっ\nたよ。あいつは全軍でも一番の弓兵だっ\nたんだ。あいつが部隊を指揮して、も\nう少しで作戦成功ってときに、敵の槍\nに串刺しにされてなあ。なんとか連れ\nては帰ったが、マラーにも治せないほ\nどの深手で、トドメをさしてやる以外\nに何もできなかった。\n
QualKehkGossip4	55\nバール軍の攻城兵器には、腕自慢の兵\n隊が何人もやられたよ。射程距離が長\nすぎてな。でも、一気に近距離まで詰\nめることさえできりゃ、後はこっちの\nもんだ。\n
QualKehkGossip5	83\nバールの軍団は、とにかくすごい大軍\nだ。ただし司令官を殺して指揮系統を\n混乱させれば、勝機はある。\n
QualKehkGossip6	53\n最初の頃に、腕利きの偵察部隊がいく\nつも奇襲を受けて全滅した。なんでも、\n魔物がいきなり宙から出てきたって言\nうんだ。生存者の話じゃ、ちょっと離\nれたところの空に変な怪物が浮かんで\nいたらしい。\n\nそいつが敵の先触れなら、急いで倒し\nておけば奇襲を防げるかもしれん。\n
QualKehkGossip7	55\n魔物どもは、強いのももちろんだが、\n何より気分が悪いな。俺たちは戦場に\n兵糧を持って行くが、奴らは毎晩俺た\nちの仲間の死体を喰ってやがる。\n
QualKehkGossip8	48\nラーザックは、鍛冶の腕はいいんだが、\nいつでも何か変なことばっかり考えて\nる奴だ。\n\nこないだ、敵の包囲を打ち破る作戦っ\nてのを聞かされたが、また途方もない\n話だった。でっかい筒に爆薬と鉄の玉\nを詰めて、それに火をつけるそうだ。\nムチャクチャだね。\n
QualKehkGossip9	44\n平和なときには長老会が街をうまく動\nかしてたが、今この戦争を指揮してる\nのは俺だ。俺も部下どもも死ぬまで戦\nうつもりだが、さてその結果がどうな\nるかは、正直言ってわからん。\n\n俺はずっと、この街の防備を破って聖\nなる山に攻め込む力を持った奴なんか、\nどこにもいないと信じていた。でも見\nての通り、大間違いだったのさ。\n
