String Index	日本語修正	日英対訳	Text	Name
WarrivGossip9	57\n聖堂へ向かう途中の荒野は迷いやすい。\n岩の原の崖にある洞窟が地下通路にな\nっているから、そこを通った方がいい\nだろう。\n	57\n聖堂へ向かう途中の荒野は迷いやすい。\n岩の原の崖にある洞窟が地下通路にな\nっているから、そこを通った方がいい\nだろう。\n	57\n聖堂へ向かう途中の荒野は迷いやすい。\n岩の原の崖にある洞窟が地下通路にな\nっているから、そこを通った方がいい\nだろう。\n	70\nIt's easy to become lost in the \nwilderness on the way to the Citadel. \nAfter you have come to the Cairn \nStones, you must remember that the \npath continues through the caves.\n
AkaraIntroGossip1	30\n私はアカラ、「見えざる眼」教団の神\n官長です。ようこそ、旅のお方。残念\nながら粗末な宿しか提供できませんが。\n \n \nご覧の通り、我らは忌まわしい呪いに\n苦しんでいます。代々、東への門を守\nる砦でもあった我らの修道院が、女魔\n神アンダリエルに占拠されたのです。\n \n \n信じがたい事ですが、シスターの多く\nが魔神に加勢し、我らを修道院より追\nいました。裏切らなかった者のほとん\nどは命を落とすか、荒野ではぐれまし\nた。\n \nお願いします。どうかお助けください。\nこの呪いをはらってくださるなら、永\n遠の感謝と協力を誓います。\n	30\n私はアカラ、「見えざる眼」教団の神\n官長です。ようこそ、旅のお方。残念\nながら粗末な宿しか提供できませんが。\n \n \nご覧の通り、我らは忌まわしい呪いに\n苦しんでいます。代々、東への門を守\nる砦でもあった我らの修道院が、女魔\n神アンダリエルに占拠されたのです。\n \n \n信じがたい事ですが、シスターの多く\nが魔神に加勢し、我らを修道院より追\nいました。裏切らなかった者のほとん\nどは命を落とすか、荒野ではぐれまし\nた。\n \nお願いします。どうかお助けください。\nこの呪いをはらってくださるなら、永\n遠の感謝と協力を誓います。\n	30\n私はアカラ、「見えざる眼」教団の神\n官長です。ようこそ、旅のお方。残念\nながら粗末な宿しか提供できませんが。\n \n \nご覧の通り、我らは忌まわしい呪いに\n苦しんでいます。代々、東への門を守\nる砦でもあった我らの修道院が、女魔\n神アンダリエルに占拠されたのです。\n \n \n信じがたい事ですが、シスターの多く\nが魔神に加勢し、我らを修道院より追\nいました。裏切らなかった者のほとん\nどは命を落とすか、荒野ではぐれまし\nた。\n \nお願いします。どうかお助けください。\nこの呪いをはらってくださるなら、永\n遠の感謝と協力を誓います。\n	35\nI am Akara, High Priestess of the \nSisterhood of the Sightless Eye. I \nwelcome you, traveler, to our camp, \nbut I'm afraid I can offer you but poor \nshelter within these rickety walls.\n \nYou see, our ancient Sisterhood has \nfallen under a strange curse. The \nmighty Citadel from which we have \nguarded the gates to the East for \ngenerations, has been corrupted by the \nevil Demoness, Andariel.\n \nI still can't believe it... but she turned \nmany of our sister Rogues against us \nand drove us from our ancestral home. \nNow the last defenders of the \nSisterhood are either dead or scattered \nthroughout the wilderness.\n \nI implore you, stranger. Please help us. \nFind a way to lift this terrible curse and \nwe will pledge our loyalty to you for all \ntime.\n
AkaraIntroSorGossip1	31\nこんにちは、お若いソーサレスさん。\nこの暗い時代に、あなたのような方が\nいるのは心強い事です。大いなる影に\n立ち向かうには、もっと女の力が必要\nですわ。そうそう、申し遅れました...\n \n \n私はアカラ。「見えざる眼」教団の神\n官長です。ようこそ、旅のお方。残念\nながら粗末な宿しか提供できませんが。\n \n \nご覧の通り、我らは忌まわしい呪いに\n苦しんでいます。代々、東への門を守\nる砦でもあった我らの修道院が、女魔\n神アンダリエルに占拠されたのです。\n \n \n信じがたい事ですが、シスターの多く\nが魔神に加勢し、我らを修道院より追\nいました。裏切らなかった者のほとん\nどは命を落とすか、荒野ではぐれまし\nた。\n \nお願いします。どうかお助けください。\nこの呪いをはらってくださるなら、永\n遠の感謝と協力を誓います。\n	31\nこんにちは、お若いソーサレスさん。\nこの暗い時代に、あなたのような方が\nいるのは心強い事です。大いなる影に\n立ち向かうには、もっと女の力が必要\nですわ。そうそう、申し遅れました...\n \n \n私はアカラ。「見えざる眼」教団の神\n官長です。ようこそ、旅のお方。残念\nながら粗末な宿しか提供できませんが。\n \n \nご覧の通り、我らは忌まわしい呪いに\n苦しんでいます。代々、東への門を守\nる砦でもあった我らの修道院が、女魔\n神アンダリエルに占拠されたのです。\n \n \n信じがたい事ですが、シスターの多く\nが魔神に加勢し、我らを修道院より追\nいました。裏切らなかった者のほとん\nどは命を落とすか、荒野ではぐれまし\nた。\n \nお願いします。どうかお助けください。\nこの呪いをはらってくださるなら、永\n遠の感謝と協力を誓います。\n	31\nこんにちは、お若いソーサレスさん。\nこの暗い時代に、あなたのような方が\nいるのは心強い事です。大いなる影に\n立ち向かうには、もっと女の力が必要\nですわ。そうそう、申し遅れました...\n \n \n私はアカラ。「見えざる眼」教団の神\n官長です。ようこそ、旅のお方。残念\nながら粗末な宿しか提供できませんが。\n \n \nご覧の通り、我らは忌まわしい呪いに\n苦しんでいます。代々、東への門を守\nる砦でもあった我らの修道院が、女魔\n神アンダリエルに占拠されたのです。\n \n \n信じがたい事ですが、シスターの多く\nが魔神に加勢し、我らを修道院より追\nいました。裏切らなかった者のほとん\nどは命を落とすか、荒野ではぐれまし\nた。\n \nお願いします。どうかお助けください。\nこの呪いをはらってくださるなら、永\n遠の感謝と協力を誓います。\n	34\nGreetings, young Sorceress. It is good \nto see more of your kind at work in the \nworld these dark days. In my opinion, \nthe world needs more women to fight \nagainst the great shadow. But I am \nforgetting my manners... \n \nI am Akara, High Priestess of the \nSisterhood of the Sightless Eye. I \nwelcome you, traveler, to our camp, \nbut I'm afraid I can offer you but poor \nshelter within these rickety walls.\n \nYou see, our ancient Sisterhood has \nfallen under a strange curse. The \nmighty Citadel from which we have \nguarded the gates to the East for \ngenerations, has been corrupted by the \nevil Demoness, Andariel.\n \nI still can't believe it... but she turned \nmany of our sister Rogues against us \nand drove us from our ancestral home. \nNow the last defenders of the \nSisterhood are either dead or scattered \nthroughout the wilderness.\n \nI implore you, stranger: please help us. \nFind a way to lift this terrible curse and \nwe will pledge our loyalty to you for all \ntime.\n
AkaraGossip1	39\n「見えざる眼」教団は、長く輝かしい\n歴史を誇ります。いつしか我らのシス\nターは強力な武装集団となり、同時に、\n自らの運命を自らの手で決めたいと願\nう女性達の砦ともなりました。\n \nしかし、お気をつけなさい。力と知識\nはたやすく悲劇につながります。私は、\n強い勇気や得がたい英知を持つ人が、\n野心や無謀によって身を滅ぼすのを何\n度も見ました。\n \n暗い道を切り開くには、足下に用心す\nるのです。\n	39\n「見えざる眼」教団は、長く輝かしい\n歴史を誇ります。いつしか我らのシス\nターは強力な武装集団となり、同時に、\n自らの運命を自らの手で決めたいと願\nう女性達の砦ともなりました。\n \nしかし、お気をつけなさい。力と知識\nはたやすく悲劇につながります。私は、\n強い勇気や得がたい英知を持つ人が、\n野心や無謀によって身を滅ぼすのを何\n度も見ました。\n \n暗い道を切り開くには、足下に用心す\nるのです。\n	39\n「見えざる眼」教団は、長く輝かしい\n歴史を誇ります。いつしか我らのシス\nターは強力な武装集団となり、同時に、\n自らの運命を自らの手で決めたいと願\nう女性達の砦ともなりました。\n \nしかし、お気をつけなさい。力と知識\nはたやすく悲劇につながります。私は、\n強い勇気や得がたい英知を持つ人が、\n野心や無謀によって身を滅ぼすのを何\n度も見ました。\n \n暗い道を切り開くには、足下に用心す\nるのです。\n	42\nThe Sisterhood of the Sightless Eye has \na long and distinguished history. Over \nthe generations our Order has become \na deadly fighting force as well as a \nbastion for women who sought to forge \ntheir own destiny.\n \nYet beware, young one, the lure of \npower and knowledge can lead to \ndisaster. I have seen ambition foul the \nbravest of hearts and recklessness dull \nhard-won wisdom.\n \nYou would do well to tread lightly upon \nthe dark path you have chosen to \nexplore.\n
AkaraGossip2	39\nケインという人は、古きホラドリムの\n生き残りで、膨大な知識を持っている\nと聞きます。危機の正体を見きわめる\n手助けをしてくれるかもしれません。\n	39\nケインという人は、古きホラドリムの\n生き残りで、膨大な知識を持っている\nと聞きます。危機の正体を見きわめる\n手助けをしてくれるかもしれません。\n	39\nケインという人は、古きホラドリムの\n生き残りで、膨大な知識を持っている\nと聞きます。危機の正体を見きわめる\n手助けをしてくれるかもしれません。\n	49\nI understand that Cain is the last \ndescendant of the ancient Horadrim \nand that his knowledge of their lore is \nvast. He could prove to be very useful \nin discerning the nature of our current \ncrisis.\n
AkaraGossip3	35\nカシャは常に炎のごとき忠誠心を示し\nてくれますが、今はその怒りが裏目に\n出はしないかと心配です。自分の下に\n残った仲間をとても大切にしていて、\nよほどの事がないと闘わせようとはし\nません。\n	35\nカシャは常に炎のごとき忠誠心を示し\nてくれますが、今はその怒りが裏目に\n出はしないかと心配です。自分の下に\n残った仲間をとても大切にしていて、\nよほどの事がないと闘わせようとはし\nません。\n	35\nカシャは常に炎のごとき忠誠心を示し\nてくれますが、今はその怒りが裏目に\n出はしないかと心配です。自分の下に\n残った仲間をとても大切にしていて、\nよほどの事がないと闘わせようとはし\nません。\n	49\nKashya has always been fiercely loyal, \nbut I fear her anger and frustration \nover these recent events will lead her \ninto harm's way. She is highly \nprotective of the few Rogues remaining \nunder her command and will not send \nthem into combat unless there is dire \nneed.\n
AkaraGossip4	35\nチャルシは若く無垢な娘です。しかし\nバーバリアンの血のためか、冒険に惹\nかれるようですね。鍛冶の仕事を通し\nて悪に立ち向かう手助けをする事を、\n誇りにしています。\n	35\nチャルシは若く無垢な娘です。しかし\nバーバリアンの血のためか、冒険に惹\nかれるようですね。鍛冶の仕事を通し\nて悪に立ち向かう手助けをする事を、\n誇りにしています。\n	35\nチャルシは若く無垢な娘です。しかし\nバーバリアンの血のためか、冒険に惹\nかれるようですね。鍛冶の仕事を通し\nて悪に立ち向かう手助けをする事を、\n誇りにしています。\n	46\nCharsi is young and innocent. However, \nI believe her Barbarian blood thrills to \nthe prospect of adventure and danger. \nShe takes great pride in her work and \nfinds comfort in the fact that her \nweapons and armor are helping to end \nthis evil plague.\n
AkaraGossip5	40\nワリヴとはあまり親しくありませんが、\nかなりの苦労を重ねてきた人のようで\nすね。しかし地を覆う魔軍の恐ろしさ\nを知りながら、自分のキャラバンを東\nに向かわせる事しか考えていないよう\nに見受けられます。\n	40\nワリヴとはあまり親しくありませんが、\nかなりの苦労を重ねてきた人のようで\nすね。しかし地を覆う魔軍の恐ろしさ\nを知りながら、自分のキャラバンを東\nに向かわせる事しか考えていないよう\nに見受けられます。\n	40\nワリヴとはあまり親しくありませんが、\nかなりの苦労を重ねてきた人のようで\nすね。しかし地を覆う魔軍の恐ろしさ\nを知りながら、自分のキャラバンを東\nに向かわせる事しか考えていないよう\nに見受けられます。\n	48\nThough he has only been our guest for \na short time, I sense that Warriv has \nfaced many harrowing trials. Though \nhe knows, as I do, that a terrible evil \nhas blanketed the land, his only real \nconcern is to reach the eastern trading \nports with his caravan.\n
AkaraGossip6	40\n正直なところ、あまりギードには関わ\nりたくありません。常に嘘をまとい、\n成功のためには他人の不幸につけ込む\nような人です。\n	40\n正直なところ、あまりギードには関わ\nりたくありません。常に嘘をまとい、\n成功のためには他人の不幸につけ込む\nような人です。\n	40\n正直なところ、あまりギードには関わ\nりたくありません。常に嘘をまとい、\n成功のためには他人の不幸につけ込む\nような人です。\n	53\nTo be honest, I have done my best to \nstay clear of Gheed. He wears \ndishonesty about himself like a cloak \nand seeks only to better his situation \nby preying on the misfortunes of \nothers.\n
AkaraGossip7	46\n荒野も、そして我らの家たる修道院も、\n魔神の軍勢に占領されております。彼\nらを打ち払い、世界に秩序を取り戻さ\nねばなりません。\n	46\n荒野も、そして我らの家たる修道院も、\n魔神の軍勢に占領されております。彼\nらを打ち払い、世界に秩序を取り戻さ\nねばなりません。\n	46\n荒野も、そして我らの家たる修道院も、\n魔神の軍勢に占領されております。彼\nらを打ち払い、世界に秩序を取り戻さ\nねばなりません。\n	55\nThe wilderness is overrun with Evil and \nthe minions of Hell have taken our \nrightful home. We must purge all Evil \nfrom the Monastery and restore order \nto the world.\n
AkaraGossip8	39\n教団が再興する夢をよく見ます。「見\nえざる眼」は未来の栄光を予見してい\nますが、その時期まではわかりません。\n\n	39\n教団が再興する夢をよく見ます。「見\nえざる眼」は未来の栄光を予見してい\nますが、その時期まではわかりません。\n\n	39\n教団が再興する夢をよく見ます。「見\nえざる眼」は未来の栄光を予見してい\nますが、その時期まではわかりません。\n\n	53\nI often dream of the day we reclaim our \nown. The Sightless Eye sees through \nthe mist of time a great glory ahead, \nbut how far ahead the Eye cannot \ndiscern.\n
AkaraGossip9	57\n我々の誇りは心の鍛錬と弓矢の技です...\nそれでこの難局を乗り切れればよいの\nですが。\n	57\n我々の誇りは心の鍛錬と弓矢の技です...\nそれでこの難局を乗り切れればよいの\nですが。\n	57\n我々の誇りは心の鍛錬と弓矢の技です...\nそれでこの難局を乗り切れればよいの\nですが。\n	67\nOur mental discipline is matched only by \nour skill in archery... I only hope these \nare enough to withstand this awful \ntrial.\n
AkaraGossip10	50\n裏切ったローグの二の舞とならぬよう。\n命を失うのも悲劇ですが、魂を失うの\nはそれ以上の悪夢です。\n	50\n裏切ったローグの二の舞とならぬよう。\n命を失うのも悲劇ですが、魂を失うの\nはそれ以上の悪夢です。\n	50\n裏切ったローグの二の舞とならぬよう。\n命を失うのも悲劇ですが、魂を失うの\nはそれ以上の悪夢です。\n	59\nBeware that you do not suffer the fate \nof the corrupted Rogues. To lose one's \nlife is a tragedy, but to lose one's soul \nis even worse.\n
AkaraGossip11	36\nかつてのシスターとはいえ、裏切った\n者達に慈悲は無用です。今はアンダリ\nエルの配下なのですから。\n \n女魔神を倒せばシスターらが正気に戻\nる可能性も、あるかもしれません。し\nかし、呪われた契約は永遠かもしれな\nいのです。\n	36\nかつてのシスターとはいえ、裏切った\n者達に慈悲は無用です。今はアンダリ\nエルの配下なのですから。\n \n女魔神を倒せばシスターらが正気に戻\nる可能性も、あるかもしれません。し\nかし、呪われた契約は永遠かもしれな\nいのです。\n	36\nかつてのシスターとはいえ、裏切った\n者達に慈悲は無用です。今はアンダリ\nエルの配下なのですから。\n \n女魔神を倒せばシスターらが正気に戻\nる可能性も、あるかもしれません。し\nかし、呪われた契約は永遠かもしれな\nいのです。\n	41\nEven though the corrupted ones were \nonce of our Order, you need not shy \nfrom slaying them, for they stand \nbetween you and Andariel.\n \nPerhaps, when the Demon Queen is \ndead, our Sisters will return to life, but \nmore likely they will be forever bound \nto their unholy pact.\n
KashyaIntroGossip1	46\nあばら屋へようこそ。私たちを修道院\nから追い払った魔物を退治に来たんだ\nね。\n \nでも覚えておいて。ローグ族の信仰を\n導くのはアカラでも、戦闘を指揮する\nのは私だよ。ちょっとザコを倒したぐ\nらいじゃ、信用しないからね。\n	46\nあばら屋へようこそ。私たちを修道院\nから追い払った魔物を退治に来たんだ\nね。\n \nでも覚えておいて。ローグ族の信仰を\n導くのはアカラでも、戦闘を指揮する\nのは私だよ。ちょっとザコを倒したぐ\nらいじゃ、信用しないからね。\n	46\nあばら屋へようこそ。私たちを修道院\nから追い払った魔物を退治に来たんだ\nね。\n \nでも覚えておいて。ローグ族の信仰を\n導くのはアカラでも、戦闘を指揮する\nのは私だよ。ちょっとザコを倒したぐ\nらいじゃ、信用しないからね。\n	56\nWelcome, outlander, to our glorious \nhovel. I know you're here to challenge \nthe evil that's driven us from our \nancestral home.\n \nBut, know this. Akara may be our \nspiritual leader, but I command the \nRogues in battle. It will take more than \njust killing a few beasts in the \nwilderness to earn my trust.\n
KashyaIntroAmaGossip1	46\nへえ。ここでアマゾンに会うとは思わ\nなかったわ。こんな所に来るなんて勇\n敢ねえ。でも、勇敢だった仲間のシス\nターも敵の魔法に倒されたのよ。あん\nたも気をつけてね。\n	46\nへえ。ここでアマゾンに会うとは思わ\nなかったわ。こんな所に来るなんて勇\n敢ねえ。でも、勇敢だった仲間のシス\nターも敵の魔法に倒されたのよ。あん\nたも気をつけてね。\n	46\nへえ。ここでアマゾンに会うとは思わ\nなかったわ。こんな所に来るなんて勇\n敢ねえ。でも、勇敢だった仲間のシス\nターも敵の魔法に倒されたのよ。あん\nたも気をつけてね。\n	55\nWell, well, I never expected to see an \nAmazon in these lands. You're very \nbrave to have come here. Many of my \nfellow Sisters have fallen under some \ndark spell, and if you're not careful you \nmay fall prey to it as well.\n
